baseline,candidate,baseline_case,candidate_case,boundary,baseline_median_ms,candidate_median_ms,speedup_median,time_reduction_percent,baseline_p95_ms,candidate_p95_ms,speedup_p95
cpu_1t,cpu_4t,audio_resident_1,audio_resident_1,host_input_output,0.281875,0.29494750000000003,0.9556785529628152,-4.637694013303784,0.3425112,0.31764719999999996,1.0782755207664354
cpu_1t,cpu_4t,audio_resident_4,audio_resident_4,host_input_output,0.356516,0.366564,0.972588688469135,-2.81838683256852,0.47062264999999937,0.3856824,1.220233668946261
cpu_1t,cpu_4t,beam_apply_1,beam_apply_1,resident,0.026721,0.026945,0.991686769344962,-0.8382919800905553,0.029863999999999995,0.02829055,1.0556175118546651
cpu_1t,cpu_4t,beam_apply_4,beam_apply_4,resident,0.076161,0.077121,0.9875520286303343,-1.260487651160025,0.0779242,0.07843455,0.993493301102639
cpu_1t,cpu_4t,beam_select_1,beam_select_1,resident,0.1175375,0.119201,0.9860445801629181,-1.415292991598438,0.12589955,0.13226759999999999,0.9518548004197552
cpu_1t,cpu_4t,beam_select_4,beam_select_4,resident,0.191026,0.192482,0.9924356563211106,-0.7621999099598931,0.21282054999999994,0.20349420000000001,1.045831035970558
cpu_1t,cpu_4t,fft_1024,fft_1024,resident,0.04704,0.046976,1.0013623978201636,0.13605442176871652,0.04909055,0.05244805,0.9359842739625209
cpu_1t,cpu_4t,fft_2048,fft_2048,resident,0.079265,0.062753,1.2631268624607588,20.831388380748116,0.09588419999999999,0.065249,1.4695121764318224
cpu_1t,cpu_4t,fft_4096,fft_4096,resident,0.1555055,0.101185,1.5368434056431288,34.931561906170515,0.20599334999999996,0.1063098,1.9376703746973465
cpu_1t,cpu_4t,fft_512,fft_512,resident,0.031424,0.032,0.982,-1.8329938900203624,0.03896574999999998,0.03379454999999999,1.153018755982843
cpu_1t,cpu_4t,replay_1000_1_batch,replay_1000_1_batch,host_input_output,13.030475,11.0140195,1.183080799884184,15.474919371703633,17.102623549999993,18.12600005,0.9435409634129398
cpu_1t,cpu_4t,replay_1000_1_sequential,replay_1000_1_sequential,host_input_output,18.177945,19.1149795,0.9509790476102786,-5.154787848681464,24.49230645,19.665609399999997,1.2454384683344724
