stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,0,12104342334057,12104342692929,12104342897892,12104345134142,0.204963,2.23625,2.800085,0.358872,2.176448,0,480
live,1,12104352334057,12104352545783,12104352620184,12104353247391,0.074401,0.627207,0.913334,0.211726,0.618272,0,480
live,2,12104362334057,12104362521710,12104362656239,12104363510298,0.134529,0.854059,1.176241,0.187653,0.849472,0,480
live,3,12104372334057,12104372559909,12104372776680,12104373593074,0.216771,0.816394,1.259017,0.225852,0.778848,0,480
live,4,12104382334057,12104382486140,12104382536924,12104382985282,0.050784,0.448358,0.651225,0.152083,0.45312,0,480
live,5,12104392334057,12104392500467,12104392584948,12104393348733,0.084481,0.763785,1.014676,0.16641,0.770752,0,480
live,6,12104402334057,12104402524235,12104403157586,12104404037437,0.633351,0.879851,1.70338,0.190178,0.836992,0,480
live,7,12104412334057,12104412583363,12104412675876,12104413499118,0.092513,0.823242,1.165061,0.249306,0.818944,0,480
live,8,12104422334057,12104422541882,12104422642587,12104423489029,0.100705,0.846442,1.154972,0.207825,0.854272,0,480
live,9,12104432334057,12104432509904,12104432588369,12104433357659,0.078465,0.76929,1.023602,0.175847,0.776672,0,480
live,10,12104442334057,12104442504968,12104442585001,12104443342258,0.080033,0.757257,1.008201,0.170911,0.765728,0,480
live,11,12104452334057,12104452507551,12104452584896,12104453352489,0.077345,0.767593,1.018432,0.173494,0.774624,0,480
live,12,12104462334057,12104462506550,12104462580375,12104463328320,0.073825,0.747945,0.994263,0.172493,0.755712,0,480
live,13,12104472334057,12104472505389,12104472577230,12104473322359,0.071841,0.745129,0.988302,0.171332,0.751648,0,480
live,14,12104482334057,12104482514725,12104482595206,12104483344143,0.080481,0.748937,1.010086,0.180668,0.755744,0,480
live,15,12104492334057,12104492589789,12104492725823,12104493277253,0.136034,0.55143,0.943196,0.255732,0.552704,0,480
