case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
weights_das_1,0,0,0.257955,0.274208,,
weights_das_1,0,1,0.2617,0.265536,,
weights_das_1,0,2,0.256227,0.259648,,
weights_das_1,0,3,0.270755,0.262528,,
weights_das_1,0,4,0.257763,0.260736,,
weights_das_1,0,5,0.255843,0.258976,,
weights_das_1,0,6,0.254147,0.257056,,
weights_das_1,0,7,0.250979,0.253984,,
weights_das_1,0,8,0.252195,0.254912,,
weights_das_1,0,9,0.253603,0.256416,,
weights_das_1,0,10,0.254723,0.257568,,
weights_das_1,0,11,0.251267,0.25408,,
weights_das_1,0,12,0.251555,0.254528,,
weights_das_1,0,13,0.253123,0.255776,,
weights_das_1,0,14,0.254467,0.257344,,
weights_das_1,0,15,0.252515,0.255328,,
weights_das_1,0,16,0.252387,0.25504,,
weights_das_1,0,17,0.28618,0.274784,,
weights_das_1,0,18,0.260995,0.264672,,
weights_das_1,0,19,0.256163,0.259008,,
weights_das_1,0,20,0.252291,0.255264,,
weights_das_1,0,21,0.250851,0.25376,,
weights_das_1,0,22,0.249795,0.252704,,
weights_das_1,0,23,0.254691,0.257472,,
weights_das_1,0,24,0.253411,0.256256,,
weights_das_1,0,25,0.251619,0.254784,,
weights_das_1,0,26,0.251267,0.254016,,
weights_das_1,0,27,0.251939,0.254688,,
weights_das_1,0,28,0.252899,0.255584,,
weights_das_1,0,29,0.251747,0.254592,,
weights_das_1,0,30,0.250691,0.253568,,
weights_das_1,0,31,0.252899,0.255712,,
weights_das_1,0,32,0.277795,0.258496,,
weights_das_1,0,33,0.256067,0.258944,,
weights_das_1,0,34,0.253668,0.25648,,
weights_das_1,0,35,0.250275,0.25312,,
weights_das_1,0,36,0.250755,0.253504,,
weights_das_1,0,37,0.251907,0.254592,,
weights_das_1,0,38,0.250659,0.253632,,
weights_das_1,0,39,0.251395,0.254272,,
weights_das_1,0,40,0.250627,0.253504,,
weights_das_1,0,41,0.251331,0.254208,,
weights_das_1,0,42,0.251075,0.254112,,
weights_das_1,0,43,0.251395,0.254048,,
weights_das_1,0,44,0.250979,0.253728,,
weights_das_1,0,45,0.252483,0.255264,,
weights_das_1,0,46,0.251555,0.254656,,
weights_das_1,0,47,0.262531,0.259072,,
weights_das_1,0,48,0.252611,0.255456,,
weights_das_1,0,49,0.250915,0.253888,,
weights_das_1,0,50,0.252291,0.25504,,
weights_das_1,0,51,0.252867,0.255872,,
weights_das_1,0,52,0.252995,0.255712,,
weights_das_1,0,53,0.251363,0.254304,,
weights_das_1,0,54,0.251651,0.254496,,
