stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,0,12753542794397,12753543046776,12753543107481,12753547798935,0.060705,4.691454,5.004538,0.252379,3.902816,3,480
live,1,12753552794397,12753552946043,12753553010876,12753556760814,0.064833,3.749938,3.966417,0.151646,3.6688,0,480
live,2,12753562794397,12753562947552,12753563005633,12753566941365,0.058081,3.935732,4.146968,0.153155,2.992192,0,480
live,3,12753572794397,12753572948580,12753573018565,12753577208381,0.069985,4.189816,4.413984,0.154183,4.061568,3,480
live,4,12753582794397,12753583029962,12753583110859,12753588115918,0.080897,5.005059,5.321521,0.235565,4.196864,0,480
live,5,12753592794397,12753592953518,12753593011023,12753596075639,0.057505,3.064616,3.281242,0.159121,2.982752,0,480
live,6,12753602794397,12753602939890,12753603004563,12753606581123,0.064673,3.57656,3.786726,0.145493,3.520448,3,480
live,7,12753612794397,12753612956759,12753613016120,12753615966847,0.059361,2.950727,3.17245,0.162362,2.905152,2,480
live,8,12753622794397,12753622942620,12753623009021,12753628568678,0.066401,5.559657,5.774281,0.148223,4.2936,2,480
live,9,12753632794397,12753632979233,12753633065250,12753638140837,0.086017,5.075587,5.34644,0.184836,4.528672,3,480
live,10,12753642794397,12753642966533,12753643043718,12753647498145,0.077185,4.454427,4.703748,0.172136,3.361248,0,480
live,11,12753652794397,12753652952554,12753653008971,12753655887185,0.056417,2.878214,3.092788,0.158157,2.84688,0,480
live,12,12753662794397,12753662945646,12753663019855,12753669383844,0.074209,6.363989,6.589447,0.151249,4.17616,1,480
live,13,12753672794397,12753672953907,12753673089045,12753677610225,0.135138,4.52118,4.815828,0.15951,3.51392,0,480
live,14,12753682794397,12753682952344,12753683035065,12753686511815,0.082721,3.47675,3.717418,0.157947,3.394304,1,480
live,15,12753692794397,12753692944092,12753693040478,12753696730575,0.096386,3.690097,3.936178,0.149695,3.580384,3,480
live,16,12753702794397,12753702964833,12753703035522,12753707154649,0.070689,4.119127,4.360252,0.170436,3.942112,3,480
live,17,12753712794397,12753712959238,12753713027783,12753716726776,0.068545,3.698993,3.932379,0.164841,3.56368,2,480
live,18,12753722794397,12753722975563,12753723040268,12753727032129,0.064705,3.991861,4.237732,0.181166,3.863232,1,480
live,19,12753732794397,12753732964463,12753733039152,12753737860400,0.074689,4.821248,5.066003,0.170066,3.960288,0,480
live,20,12753742794397,12753742963156,12753743028277,12753748611647,0.065121,5.58337,5.81725,0.168759,5.367584,3,480
live,21,12753752794397,12753752947000,12753753009305,12753756800428,0.062305,3.791123,4.006031,0.152603,3.705024,3,480
live,22,12753762794397,12753762962109,12753763030366,12753766869393,0.068257,3.839027,4.074996,0.167712,3.783936,0,480
live,23,12753772794397,12753772942722,12753773008227,12753777267419,0.065505,4.259192,4.473022,0.148325,4.145504,2,480
live,24,12753782794397,12753782997607,12753783077256,12753787220511,0.079649,4.143255,4.426114,0.20321,4.03328,2,480
live,25,12753792794397,12753792967499,12753793036588,12753797398470,0.069089,4.361882,4.604073,0.173102,3.689728,3,480
live,26,12753802794397,12753802943856,12753803004689,12753806783203,0.060833,3.778514,3.988806,0.149459,3.725568,1,480
live,27,12753812794397,12753812941460,12753812994517,12753816051294,0.053057,3.056777,3.256897,0.147063,2.983232,0,480
live,28,12753822794397,12753822949401,12753823018746,12753826971439,0.069345,3.952693,4.177042,0.155004,3.892096,2,480
live,29,12753832794397,12753832959838,12753833013951,12753836330027,0.054113,3.316076,3.53563,0.165441,3.050688,3,480
live,30,12753842794397,12753842934242,12753842978371,12753846725237,0.044129,3.746866,3.93084,0.139845,3.544704,2,480
live,31,12753852794397,12753852976040,12753853057609,12753857820456,0.081569,4.762847,5.026059,0.181643,4.609024,3,480
live,32,12753862794397,12753863002541,12753863086030,12753868238482,0.083489,5.152452,5.444085,0.208144,4.387264,3,480
live,33,12753872794397,12753872954289,12753873009041,12753876989830,0.054752,3.980789,4.195433,0.159892,3.211232,2,480
live,34,12753882794397,12753882958197,12753883034550,12753890564826,0.076353,7.530276,7.770429,0.1638,4.869984,2,480
live,35,12753892794397,12753892951482,12753893023643,12753898654566,0.072161,5.630923,5.860169,0.157085,4.358368,0,480
live,36,12753902794397,12753902963071,12753903027520,12753906315883,0.064449,3.288363,3.521486,0.168674,2.961728,1,480
live,37,12753912794397,12753912979332,12753913047397,12753916721493,0.068065,3.674096,3.927096,0.184935,3.587392,0,480
live,38,12753922794397,12753923360685,12753924147416,12753928823094,0.786731,4.675678,6.028697,0.566288,3.893504,3,480
live,39,12753932794397,12753932963245,12753933036366,12753938471798,0.073121,5.435432,5.677401,0.168848,3.493248,0,480
live,40,12753942794397,12753942965361,12753943078707,12753952639154,0.113346,9.560447,9.844757,0.170964,5.89344,3,480
live,41,12753952794397,12753952937398,12753952994231,12753956136096,0.056833,3.141865,3.341699,0.143001,2.96816,0,480
live,42,12753962794397,12753962923962,12753963003867,12753966262375,0.079905,3.258508,3.467978,0.129565,3.09536,3,480
live,43,12753972794397,12753972946175,12753973003168,12753976474670,0.056993,3.471502,3.680273,0.151778,3.37008,3,480
live,44,12753982794397,12753982952964,12753983039685,12753986675541,0.086721,3.635856,3.881144,0.158567,3.533344,3,480
live,45,12753992794397,12753992958281,12753993022890,12753997070751,0.064609,4.047861,4.276354,0.163884,3.847424,0,480
live,46,12754002794397,12754002948749,12754003016430,12754006487388,0.067681,3.470958,3.692991,0.154352,3.336736,2,480
live,47,12754012794397,12754012963698,12754013024307,12754016973127,0.060609,3.94882,4.17873,0.169301,3.820832,0,480
live,48,12754022794397,12754022960023,12754023033176,12754028454528,0.073153,5.421352,5.660131,0.165626,4.075232,0,480
live,49,12754032794397,12754032948411,12754033002140,12754035922531,0.053729,2.920391,3.128134,0.154014,2.87744,2,480
live,50,12754042794397,12754042952768,12754043021441,12754047560541,0.068673,4.5391,4.766144,0.158371,4.39648,2,480
live,51,12754052794397,12754052980773,12754053070374,12754057445696,0.089601,4.375322,4.651299,0.186376,4.24576,0,480
live,52,12754062794397,12754063000746,12754063076331,12754068438546,0.075585,5.362215,5.644149,0.206349,4.04144,0,480
live,53,12754072794397,12754072947182,12754073005326,12754075918229,0.058144,2.912903,3.123832,0.152785,2.871136,0,480
live,54,12754082794397,12754082951346,12754083020883,12754087461454,0.069537,4.440571,4.667057,0.156949,4.29136,0,480
live,55,12754092794397,12754092980247,12754093060601,12754097658070,0.080354,4.597469,4.863673,0.18585,4.31792,0,480
live,56,12754102794397,12754102949436,12754103006076,12754105935811,0.05664,2.929735,3.141414,0.155039,2.859008,3,480
live,57,12754112794397,12754112950912,12754113018209,12754117170264,0.067297,4.152055,4.375867,0.156515,4.006272,0,480
live,58,12754122794397,12754122973765,12754123053766,12754127999880,0.080001,4.946114,5.205483,0.179368,4.122176,0,480
live,59,12754132794397,12754132948938,12754133005098,12754135922993,0.05616,2.917895,3.128596,0.154541,2.856416,0,480
live,60,12754142794397,12754142947950,12754143014095,12754148675834,0.066145,5.661739,5.881437,0.153553,5.511296,0,480
live,61,12754152794397,12754153016884,12754153133269,12754158266009,0.116385,5.13274,5.471612,0.222487,4.451456,3,480
live,62,12754162794397,12754162995256,12754163097082,12754168476545,0.101826,5.379463,5.682148,0.200859,4.15792,3,480
