case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
weights_das_4,0,0,0.801899,0.813696,0.7791039943695068,
weights_das_4,0,1,0.816715,0.82144,0.7948799729347229,
weights_das_4,0,2,0.826155,0.82176,0.8054080009460449,
weights_das_4,0,3,0.799307,0.80384,0.7799360156059265,
weights_das_4,0,4,0.800267,0.804864,0.7817919850349426,
weights_das_4,0,5,0.805483,0.81008,0.788096010684967,
weights_das_4,0,6,0.797418,0.801792,0.77920001745224,
weights_das_4,0,7,0.815947,0.811424,0.7966399788856506,
weights_das_4,0,8,0.795723,0.800416,0.7778559923171997,
weights_das_4,0,9,0.803275,0.807808,0.7843199968338013,
weights_das_4,0,10,0.800586,0.805024,0.7836160063743591,
weights_das_4,0,11,0.822699,0.8168,0.8041920065879822,
weights_das_4,0,12,0.796587,0.801312,0.7789120078086853,
weights_das_4,0,13,0.800779,0.80512,0.7826240062713623,
weights_das_4,0,14,0.790858,0.79536,0.7730240225791931,
weights_das_4,0,15,0.788618,0.793056,0.7711039781570435,
weights_das_4,0,16,0.812298,0.806592,0.794655978679657,
weights_das_4,0,17,0.797322,0.80192,0.7801920175552368,
weights_das_4,0,18,0.795115,0.799424,0.7772160172462463,
weights_das_4,0,19,0.796875,0.80144,0.7786239981651306,
weights_das_4,0,20,0.797323,0.801696,0.7800319790840149,
weights_das_4,0,21,0.829227,0.82304,0.8110079765319824,
weights_das_4,0,22,0.792074,0.796416,0.7743039727210999,
weights_das_4,0,23,0.799147,0.803552,0.781823992729187,
weights_das_4,0,24,0.792491,0.796864,0.7750719785690308,
weights_das_4,0,25,0.806379,0.800256,0.7758399844169617,
weights_das_4,0,26,0.795306,0.799808,0.77702397108078,
weights_das_4,0,27,0.79665,0.801248,0.7786239981651306,
weights_das_4,0,28,0.790026,0.7944,0.7722880244255066,
weights_das_4,0,29,0.798378,0.802752,0.7798720002174377,
weights_das_4,0,30,0.821355,0.815424,0.802623987197876,
weights_das_4,0,31,0.793899,0.798496,0.7753599882125854,
weights_das_4,0,32,0.783883,0.788288,0.7657279968261719,
weights_das_4,0,33,0.790155,0.794592,0.7716479897499084,
weights_das_4,0,34,0.779947,0.784384,0.7616639733314514,
weights_das_4,0,35,0.802219,0.796352,0.78438401222229,
weights_das_4,0,36,0.793611,0.798048,0.775488018989563,
weights_das_4,0,37,0.793098,0.797472,0.775488018989563,
weights_das_4,0,38,0.781386,0.785728,0.7633280158042908,
weights_das_4,0,39,0.792938,0.797312,0.7753279805183411,
weights_das_4,0,40,0.816362,0.811008,0.7974720001220703,
weights_das_4,0,41,0.785322,0.789888,0.7669119834899902,
weights_das_4,0,42,0.790314,0.794688,0.7722560167312622,
weights_das_4,0,43,0.784042,0.788448,0.7665600180625916,
weights_das_4,0,44,0.782474,0.786944,0.7651839852333069,
weights_das_4,0,45,0.810507,0.803424,0.792415976524353,
weights_das_4,0,46,0.785963,0.790336,0.768127977848053,
weights_das_4,0,47,0.782026,0.786432,0.7645120024681091,
weights_das_4,0,48,0.793387,0.797984,0.7757120132446289,
weights_das_4,0,49,0.823211,0.816736,0.8055359721183777,
weights_das_4,0,50,0.788234,0.792768,0.7706239819526672,
weights_das_4,0,51,0.790218,0.79488,0.7729600071907043,
weights_das_4,0,52,0.787914,0.79248,0.7689599990844727,
weights_das_4,0,53,0.787562,0.791968,0.7700799703598022,
weights_das_4,0,54,0.809706,0.802976,0.7918720245361328,
weights_das_4,0,55,0.79281,0.797312,0.7758399844169617,
weights_das_4,0,56,0.793195,0.797568,0.7764800190925598,
weights_das_4,0,57,0.792075,0.796512,0.7746239900588989,
weights_das_4,0,58,0.803883,0.80848,0.7864639759063721,
weights_das_4,0,59,0.825515,0.81936,0.8068159818649292,
weights_das_4,0,60,0.797546,0.80192,0.7788159847259521,
weights_das_4,0,61,0.789899,0.79488,0.7717440128326416,
weights_das_4,0,62,0.788459,0.793024,0.7697280049324036,
weights_das_4,0,63,0.796075,0.800576,0.7785279750823975,
weights_das_4,0,64,0.808043,0.802752,0.7896639704704285,
weights_das_4,0,65,0.796555,0.801024,0.7780159711837769,
weights_das_4,0,66,0.796426,0.800992,0.7774080038070679,
weights_das_4,0,67,0.795626,0.800128,0.7773759961128235,
weights_das_4,0,68,0.815467,0.808928,0.7981759905815125,
weights_das_4,0,69,0.794411,0.799008,0.7756159901618958,
weights_das_4,0,70,0.785995,0.790464,0.7688320279121399,
weights_das_4,0,71,0.790795,0.795136,0.7730240225791931,
weights_das_4,0,72,0.796619,0.801024,0.7789760231971741,
weights_das_4,0,73,0.807883,0.801344,0.7901120185852051,
weights_das_4,0,74,0.784266,0.788608,0.7668799757957458,
weights_das_4,0,75,0.792266,0.796672,0.7744960188865662,
weights_das_4,0,76,0.78833,0.792768,0.7711679935455322,
weights_das_4,0,77,0.80001,0.804448,0.7833279967308044,
weights_das_4,0,78,0.804011,0.799072,0.7856640219688416,
weights_das_4,0,79,0.792459,0.797056,0.7743039727210999,
weights_das_4,0,80,0.782507,0.787008,0.765504002571106,
weights_das_4,0,81,0.796843,0.801344,0.7782719731330872,
weights_das_4,0,82,0.793483,0.798048,0.7753279805183411,
weights_das_4,0,83,0.814539,0.80896,0.7964479923248291,
weights_das_4,0,84,0.788714,0.79344,0.7720639705657959,
weights_das_4,0,85,0.78673,0.791616,0.7704640030860901,
weights_das_4,0,86,0.795722,0.800448,0.7786880135536194,
