stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,0,13183661847738,13183661991576,13183662237403,13183665598566,0.245827,3.361163,3.750828,0.143838,3.348864,0,480
live,1,13183671847738,13183671975255,13183672206618,13183674629017,0.231363,2.422399,2.781279,0.127517,2.424288,0,480
live,2,13183681847738,13183681964374,13183682029527,13183684960029,0.065153,2.930502,3.112291,0.116636,2.923488,0,480
live,3,13183691847738,13183691968214,13183692035319,13183694459893,0.067105,2.424574,2.612155,0.120476,2.428928,0,480
live,4,13183701847738,13183702009045,13183702082550,13183704695704,0.073505,2.613154,2.847966,0.161307,2.601952,0,480
live,5,13183711847738,13183711963540,13183712043061,13183715103420,0.079521,3.060359,3.255682,0.115802,3.065632,0,480
live,6,13183721847738,13183721975124,13183722228791,13183725882245,0.253667,3.653454,4.034507,0.127386,3.637344,0,480
live,7,13183731847738,13183731961107,13183732050836,13183735269373,0.089729,3.218537,3.421635,0.113369,3.223008,0,480
live,8,13183741847738,13183741974066,13183742032563,13183745843363,0.058497,3.8108,3.995625,0.126328,3.800736,0,480
live,9,13183751847738,13183751966225,13183752053586,13183755702433,0.087361,3.648847,3.854695,0.118487,3.655488,0,480
live,10,13183761847738,13183761975857,13183762036145,13183766026404,0.060288,3.990259,4.178666,0.128119,3.977152,0,480
live,11,13183771847738,13183771964944,13183772054513,13183776179109,0.089569,4.124596,4.331371,0.117206,4.110016,0,480
live,12,13183781847738,13183781980175,13183782067280,13183786611178,0.087105,4.543898,4.76344,0.132437,4.519168,0,480
live,13,13183791847738,13183791973326,13183792062064,13183796438119,0.088738,4.376055,4.590381,0.125588,4.362144,0,480
live,14,13183801847738,13183801983822,13183802048655,13183806393190,0.064833,4.344535,4.545452,0.136084,4.33184,0,480
live,15,13183811847738,13183811967949,13183812052174,13183816750410,0.084225,4.698236,4.902672,0.120211,4.156256,0,480
live,16,13183821847738,13183821974540,13183822043533,13183826468869,0.068993,4.425336,4.621131,0.126802,4.398912,0,480
live,17,13183831847738,13183831965515,13183832055885,13183837037132,0.09037,4.981247,5.189394,0.117777,4.688864,0,480
live,18,13183841847738,13183841987819,13183842063660,13183846559749,0.075841,4.496089,4.712011,0.140081,4.484672,0,480
live,19,13183851847738,13183851970154,13183852069963,13183856732871,0.099809,4.662908,4.885133,0.122416,4.375616,0,480
live,20,13183861847738,13183861970153,13183862032938,13183868123960,0.062785,6.091022,6.276222,0.122415,6.048736,0,480
live,21,13183871847738,13183871969705,13183872053066,13183876669796,0.083361,4.61673,4.822058,0.121967,4.602432,0,480
live,22,13183881847738,13183881978056,13183882053161,13183886742341,0.075105,4.68918,4.894603,0.130318,4.452832,0,480
live,23,13183891847738,13183891970215,13183892069352,13183896981511,0.099137,4.912159,5.133773,0.122477,4.405152,0,480
live,24,13183901847738,13183901998759,13183902064648,13183906433055,0.065889,4.368407,4.585317,0.151021,4.35616,0,480
live,25,13183911847738,13183911961350,13183912031078,13183915750966,0.069728,3.719888,3.903228,0.113612,3.710624,0,480
live,26,13183921847738,13183921972005,13183922038438,13183926220667,0.066433,4.182229,4.372929,0.124267,4.162528,0,480
live,27,13183931847738,13183931967108,13183932062789,13183936620415,0.095681,4.557626,4.772677,0.11937,4.183584,0,480
live,28,13183941847738,13183941987172,13183942062853,13183947044196,0.075681,4.981343,5.196458,0.139434,4.380928,0,480
live,29,13183951847738,13183951946530,13183952027427,13183956694495,0.080897,4.667068,4.846757,0.098792,4.383328,0,480
live,30,13183961847738,13183961968098,13183962037731,13183966421755,0.069633,4.384024,4.574017,0.12036,4.369056,0,480
live,31,13183971847738,13183971962465,13183972050082,13183976745310,0.087617,4.695228,4.897572,0.114727,4.409536,0,480
live,32,13183981847738,13183981981729,13183982046689,13183986487066,0.06496,4.440377,4.639328,0.133991,4.426752,0,480
live,33,13183991847738,13183991969664,13183992074497,13183996189205,0.104833,4.114708,4.341467,0.121926,4.093248,0,480
live,34,13184001847738,13184001976991,13184002042336,13184006582746,0.065345,4.54041,4.735008,0.129253,4.533376,0,480
live,35,13184011847738,13184011969118,13184012049183,13184016296405,0.080065,4.247222,4.448667,0.12138,4.233376,0,480
live,36,13184021847738,13184021975166,13184022037342,13184026268212,0.062176,4.23087,4.420474,0.127428,4.215392,0,480
live,37,13184031847738,13184031967005,13184032048702,13184037633637,0.081697,5.584935,5.785899,0.119267,4.26512,0,480
live,38,13184041847738,13184041967516,13184042044093,13184046528694,0.076577,4.484601,4.680956,0.119778,4.457312,0,480
live,39,13184051847738,13184051968539,13184052068061,13184056346195,0.099522,4.278134,4.498457,0.120801,4.263616,0,480
live,40,13184061847738,13184061970651,13184062045020,13184068106985,0.074369,6.061965,6.259247,0.122913,6.019936,0,480
live,41,13184071847738,13184071964986,13184072077083,13184076589685,0.112097,4.512602,4.741947,0.117248,4.500672,0,480
live,42,13184081847738,13184081985369,13184082041690,13184086073293,0.056321,4.031603,4.225555,0.137631,4.01632,0,480
live,43,13184091847738,13184091960088,13184092036793,13184095973963,0.076705,3.93717,4.126225,0.11235,3.943616,0,480
live,44,13184101847738,13184101966616,13184102030776,13184106218862,0.06416,4.188086,4.371124,0.118878,4.159456,0,480
live,45,13184111847738,13184111976183,13184112068920,13184116610354,0.092737,4.541434,4.762616,0.128445,4.525984,0,480
live,46,13184121847738,13184121973526,13184122050039,13184126372846,0.076513,4.322807,4.525108,0.125788,4.311776,0,480
live,47,13184131847738,13184131971157,13184132073239,13184136383694,0.102082,4.310455,4.535956,0.123419,4.29024,0,480
live,48,13184141847738,13184141973237,13184142036917,13184146288396,0.06368,4.251479,4.440658,0.125499,4.2416,0,480
live,49,13184151847738,13184151970132,13184152068373,13184156413004,0.098241,4.344631,4.565266,0.122394,4.32832,0,480
live,50,13184161847738,13184161970675,13184162049940,13184166446444,0.079265,4.396504,4.598706,0.122937,4.38592,0,480
live,51,13184171847738,13184171969938,13184172071892,13184176325770,0.101954,4.253878,4.478032,0.1222,4.238016,0,480
live,52,13184181847738,13184181971026,13184182056627,13184186634125,0.085601,4.577498,4.786387,0.123288,4.567104,0,480
live,53,13184191847738,13184191966129,13184192044850,13184196359081,0.078721,4.314231,4.511343,0.118391,4.303424,0,480
live,54,13184201847738,13184201965808,13184202027537,13184206267207,0.061729,4.23967,4.419469,0.11807,4.223456,0,480
live,55,13184211847738,13184211962159,13184212037488,13184216323751,0.075329,4.286263,4.476013,0.114421,4.261568,0,480
live,56,13184221847738,13184221963407,13184222030575,13184226594922,0.067168,4.564347,4.747184,0.115669,4.553312,0,480
live,57,13184231847738,13184231969710,13184232287858,13184237001294,0.318148,4.713436,5.153556,0.121972,4.701952,0,480
live,58,13184241847738,13184241993614,13184242059822,13184246459366,0.066208,4.399544,4.611628,0.145876,4.390784,0,480
live,59,13184251847738,13184251967980,13184252065006,13184256335588,0.097026,4.270582,4.48785,0.120242,4.255392,0,480
live,60,13184261847738,13184261971468,13184262233551,13184269707214,0.262083,7.473663,7.859476,0.12373,6.66272,0,480
live,61,13184271847738,13184271973195,13184272229070,13184276766152,0.255875,4.537082,4.918414,0.125457,4.507712,0,480
live,62,13184281847738,13184281961642,13184282022411,13184286223136,0.060769,4.200725,4.375398,0.113904,4.181536,0,480
live,63,13184291847738,13184291962281,13184292048459,13184296034429,0.086178,3.98597,4.186691,0.114543,3.969344,0,480
live,64,13184301847738,13184301975305,13184302050442,13184306328384,0.075137,4.277942,4.480646,0.127567,4.265184,0,480
live,65,13184311847738,13184311965640,13184312035721,13184316241758,0.070081,4.206037,4.39402,0.117902,4.183584,0,480
live,66,13184321847738,13184321961095,13184322032200,13184326221437,0.071105,4.189237,4.373699,0.113357,4.177088,0,480
live,67,13184331847738,13184331967655,13184332064776,13184336959430,0.097121,4.894654,5.111692,0.119917,4.266624,0,480
live,68,13184341847738,13184341965670,13184342025287,13184346299389,0.059617,4.274102,4.451651,0.117932,4.25728,0,480
live,69,13184351847738,13184351964229,13184352069702,13184356744290,0.105473,4.674588,4.896552,0.116491,4.662944,0,480
live,70,13184361847738,13184361978660,13184362059109,13184366581343,0.080449,4.522234,4.733605,0.130922,4.508448,0,480
live,71,13184371847738,13184371968036,13184372056773,13184376965379,0.088737,4.908606,5.117641,0.120298,4.61744,0,480
live,72,13184381847738,13184381984515,13184382060580,13184386499389,0.076065,4.438809,4.651651,0.136777,4.419008,0,480
live,73,13184391847738,13184391968642,13184392057539,13184396309561,0.088897,4.252022,4.461823,0.120904,4.234848,0,480
live,74,13184401847738,13184402014306,13184402100195,13184406345241,0.085889,4.245046,4.497503,0.166568,4.235328,0,480
live,75,13184411847738,13184411991137,13184412091074,13184416396697,0.099937,4.305623,4.548959,0.143399,4.288544,0,480
live,76,13184421847738,13184421970144,13184422044705,13184426454329,0.074561,4.409624,4.606591,0.122406,4.38752,0,480
live,77,13184431847738,13184431969727,13184432064928,13184436289974,0.095201,4.225046,4.442236,0.121989,4.21616,0,480
live,78,13184441847738,13184441965982,13184442025983,13184446231829,0.060001,4.205846,4.384091,0.118244,4.195232,0,480
live,79,13184451847738,13184451965822,13184452060159,13184456365622,0.094337,4.305463,4.517884,0.118084,4.291904,0,480
live,80,13184461847738,13184461977405,13184462036094,13184467860424,0.058689,5.82433,6.012686,0.129667,5.812992,0,480
live,81,13184471847738,13184471965660,13184472043869,13184476312787,0.078209,4.268918,4.465049,0.117922,4.255072,0,480
live,82,13184481847738,13184481978140,13184482051901,13184486456693,0.073761,4.404792,4.608955,0.130402,4.381792,0,480
live,83,13184491847738,13184491968411,13184492067868,13184496283442,0.099457,4.215574,4.435704,0.120673,4.199744,0,480
live,84,13184501847738,13184501986394,13184502051899,13184506391378,0.065505,4.339479,4.54364,0.138656,4.328608,0,480
live,85,13184511847738,13184511964985,13184512058842,13184516286160,0.093857,4.227318,4.438422,0.117247,4.21184,0,480
live,86,13184521847738,13184521980953,13184522057274,13184526463250,0.076321,4.405976,4.615512,0.133215,4.39504,0,480
live,87,13184531847738,13184531968184,13184532060249,13184536282703,0.092065,4.222454,4.434965,0.120446,4.20704,0,480
live,88,13184541847738,13184541978487,13184542061528,13184546430192,0.083041,4.368664,4.582454,0.130749,4.357888,0,480
live,89,13184551847738,13184551967030,13184552060279,13184557038263,0.093249,4.977984,5.190525,0.119292,4.27824,0,480
live,90,13184561847738,13184561980086,13184562054935,13184566648209,0.074849,4.593274,4.800471,0.132348,4.584352,0,480
live,91,13184571847738,13184571969013,13184572061174,13184576514671,0.092161,4.453497,4.666933,0.121275,4.443584,0,480
live,92,13184581847738,13184581984180,13184582051989,13184586422317,0.067809,4.370328,4.574579,0.136442,4.361344,0,480
