accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
True,1500,1500,0,0,0.0,2.9369533999999997,4.17245,2.087162,1.669429,0,0,0,0,1,1,1,1,13570463024817,14.992299037,20.065039210934017,1169408,cpu,4,25.022046256827206,61657088,9453568,,,cpu_4t_people1_beams1_round0
True,1500,1500,0,0,0.0,3.0047167699999995,4.162457,2.1266285999999996,1.669845,0,0,0,0,1,1,1,1,13587291081062,14.992186943,18.945918294987113,1169408,cpu,4,25.022233342358074,61304832,9265152,,,cpu_4t_people1_beams1_round1
True,1500,1500,0,0,0.0,2.8264719499999997,4.127883,2.0136362,1.1412945,0,0,0,0,1,1,1,1,13604205962321,14.991716,18.431183676117804,1169408,cpu,4,25.023019379502653,63672320,9732096,,,cpu_4t_people1_beams1_round2
True,1500,1500,0,0,0.0,4.283817559999999,6.645416,3.0711916,1.326017,0,0,0,0,1,4,4,1,13621099675599,14.991579016,21.005799967138238,1169408,cpu,4,47.19849718597514,65871872,11821056,,,cpu_4t_people1_beams4_round0
True,1500,1500,0,0,0.0,4.43455523,4.867993,2.8227742999999945,1.831527,0,0,0,0,1,4,4,1,13637962228775,14.992003481,21.712361096880137,1169408,cpu,4,47.197160866240864,64282624,11759616,,,cpu_4t_people1_beams4_round1
True,1500,1500,0,0,0.0,4.327496719999999,5.504436,2.988409849999998,1.257904,0,0,0,0,1,4,4,1,13654870410746,14.992479566,19.616087275062483,1169408,cpu,4,47.19566212413939,63488000,11522048,,,cpu_4t_people1_beams4_round2
True,1500,1500,0,0,0.0,3.3647712999999992,6.030635,2.20833355,1.231328,0,0,0,0,2,1,2,2,13671791270065,14.992420734,18.93697416374898,1169408,cpu,4,33.645000293786445,62910464,9699328,,,cpu_4t_people2_beams1_round0
True,1500,1500,0,0,0.0,3.4489058299999997,4.996684,2.2314712,1.2716159999999999,0,0,0,0,2,1,2,2,13688670622953,14.992764311,19.845535423412773,1169408,cpu,4,33.644229278646996,66523136,12279808,,,cpu_4t_people2_beams1_round1
True,1500,1500,0,0,0.0,3.26452449,3.787843,2.2207128,1.215871,0,0,0,0,2,1,2,2,13705653755771,14.992424744,18.4867523376456,1169408,cpu,4,33.64499129481173,61022208,7872512,,,cpu_4t_people2_beams1_round2
True,1500,1500,0,0,0.0,6.50507747,7.276409,3.5331544499999974,2.1145709999999998,0,0,0,0,2,4,8,2,13722532446563,14.99276471,25.574027395659506,1169408,cpu,4,77.99121927259273,64221184,10817536,,,cpu_4t_people2_beams4_round0
