timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
15584735804286,1.0,665.0,46.0,3271.0,0.0
15584958263067,2.0,665.0,38.0,3330.0,0.0
15585179604299,2.0,665.0,5.0,3420.0,0.0
15585399115746,0.0,2133.0,2.0,3534.0,0.0
15585618731580,1.0,2133.0,17.0,3656.0,0.0
15585838175026,1.0,2133.0,22.0,3774.0,0.0
15586060747569,1.0,2133.0,0.0,3822.0,0.0
15586280233481,1.0,2133.0,37.0,3823.0,0.0
15586500403689,1.0,2133.0,25.0,3825.0,0.0
15586720916941,1.0,2133.0,25.0,3825.0,0.0
15586942076634,1.0,2133.0,23.0,3825.0,0.0
15587163359944,0.0,2133.0,27.0,3825.0,0.0
15587386261611,0.0,2133.0,35.0,3825.0,0.0
15587608386788,0.0,2133.0,25.0,3825.0,0.0
15587861881103,9.0,204.0,32.0,3825.0,0.0
15588128868966,2.0,665.0,22.0,3825.0,0.0
15588365001650,2.0,665.0,31.0,3825.0,0.0
15588623089911,8.0,204.0,19.0,3825.0,0.0
15588859371301,8.0,204.0,32.0,3825.0,0.0
15589132610827,2.0,665.0,36.0,3825.0,0.0
15589383150448,2.0,665.0,32.0,3825.0,0.0
15589632959019,7.0,204.0,29.0,3825.0,0.0
15589870337254,2.0,665.0,25.0,3825.0,0.0
15590125563239,7.0,204.0,23.0,3825.0,0.0
15590385291072,7.0,204.0,35.0,3825.0,0.0
15590641101416,7.0,204.0,39.0,3825.0,0.0
15590943039934,7.0,204.0,28.0,3826.0,0.0
15591197793688,7.0,204.0,26.0,3826.0,0.0
15591429696237,2.0,665.0,18.0,3826.0,0.0
15591700536085,2.0,665.0,32.0,3826.0,0.0
15591954760520,7.0,204.0,23.0,3826.0,0.0
15592221407418,2.0,665.0,34.0,3826.0,0.0
15592483890871,7.0,204.0,18.0,3826.0,0.0
15592723453423,7.0,204.0,36.0,3826.0,0.0
15593000221986,7.0,204.0,33.0,3826.0,0.0
15593253623370,7.0,204.0,27.0,3826.0,0.0
15593516288521,2.0,665.0,32.0,3826.0,0.0
15593794100714,2.0,665.0,31.0,3826.0,0.0
15594044346122,7.0,204.0,33.0,3826.0,0.0
15594327886356,7.0,204.0,30.0,3826.0,0.0
15594616391933,7.0,204.0,40.0,3826.0,0.0
15594880634704,2.0,665.0,21.0,3826.0,0.0
15595135420970,7.0,204.0,27.0,3826.0,0.0
15595399820063,2.0,665.0,29.0,3826.0,0.0
15595651854678,7.0,204.0,30.0,3826.0,0.0
15595898460616,2.0,665.0,19.0,3826.0,0.0
15596134023884,2.0,665.0,32.0,3826.0,0.0
15596384186187,7.0,204.0,30.0,3826.0,0.0
15596623583808,2.0,665.0,26.0,3826.0,0.0
15596871485570,2.0,665.0,28.0,3826.0,0.0
15597120452273,2.0,665.0,28.0,3826.0,0.0
15597369315231,2.0,665.0,38.0,3826.0,0.0
15597617509893,2.0,665.0,28.0,3826.0,0.0
15597874952992,7.0,204.0,31.0,3826.0,0.0
15598134768987,7.0,204.0,34.0,3826.0,0.0
15598383600520,7.0,204.0,28.0,3826.0,0.0
15598641361832,7.0,204.0,19.0,3826.0,0.0
15598894796336,7.0,204.0,39.0,3826.0,0.0
15599145604183,7.0,204.0,23.0,3826.0,0.0
15599391996101,2.0,665.0,35.0,3826.0,0.0
15599644067132,7.0,204.0,30.0,3826.0,0.0
15599897932810,7.0,204.0,25.0,3826.0,0.0
15600134904576,7.0,204.0,27.0,3826.0,0.0
15600368318248,2.0,665.0,30.0,3826.0,0.0
15600619076494,2.0,665.0,26.0,3826.0,0.0
15600874386255,7.0,204.0,25.0,3826.0,0.0
15601131674696,7.0,204.0,32.0,3826.0,0.0
15601401901703,2.0,665.0,20.0,3826.0,0.0
15601602789519,2.0,665.0,54.0,3837.0,0.0
