stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,16569395382739,16569395981701,16569396303752,16569464227109,68.84437,0.322051,67.923357,30720
live,1,16569405382739,16569405745719,16569464534536,16569471710012,66.327273,58.788817,7.175476,30720
live,2,16569415382739,16569415827981,16569471852382,16569479002514,63.619775,56.024401,7.150132,30720
live,3,16569425382739,16569425594624,16569479146292,16569486643083,61.260344,53.551668,7.496791,30720
live,4,16569435382739,16569435526708,16569486796333,16569496354685,60.971946,51.269625,9.558352,30720
live,7,16569465382739,16569465549780,16569496499519,16569504288090,38.905351,30.949739,7.788571,30720
live,8,16569475382739,16569475541417,16569504456924,16569511808626,36.425887,28.915507,7.351702,30720
live,9,16569485382739,16569485534430,16569511953332,16569518743972,33.361233,26.418902,6.79064,30720
live,10,16569495382739,16569495554484,16569518918918,16569526670465,31.287726,23.364434,7.751547,30720
live,11,16569505382739,16569505543081,16569526805314,16569533656115,28.273376,21.262233,6.850801,30720
live,12,16569515382739,16569515551774,16569533815284,16569540530051,25.147312,18.26351,6.714767,30720
live,13,16569525382739,16569525819703,16569540653221,16569547381267,21.998528,14.833518,6.728046,30720
live,14,16569535382739,16569535538153,16569547519509,16569555690581,20.307842,11.981356,8.171072,30720
live,15,16569545382739,16569545540222,16569555822870,16569563054955,17.672216,10.282648,7.232085,30720
live,16,16569555382739,16569555567731,16569563233197,16569569955196,14.572457,7.665466,6.721999,30720
live,17,16569565382739,16569565557192,16569570082142,16569577580213,12.197474,4.52495,7.498071,30720
live,18,16569575382739,16569575577790,16569577721143,16569584914411,9.531672,2.143353,7.193268,30720
live,19,16569585382739,16569585543027,16569585608436,16569592956522,7.573783,0.065409,7.348086,30720
live,20,16569595382739,16569595516136,16569595579752,16569652446531,57.063792,0.063616,56.866779,30720
live,21,16569605382739,16569605607358,16569652653477,16569660103197,54.720458,47.046119,7.44972,30720
live,22,16569615382739,16569615536594,16569660246398,16569667443763,52.061024,44.709804,7.197365,30720
live,23,16569625382739,16569625505735,16569667573396,16569674332644,48.949905,42.067661,6.759248,30720
