09-13-2026 12:05:12 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [30%@729,39%@729,8%@729,25%@729,0%@1728,0%@1728,27%@1728,0%@1728,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.187C Tboard@35C SOC2@41.718C Tdiode@36C SOC0@42.343C CV1@-256C GPU@-256C tj@45.406C SOC1@41.5C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:05:12 RAM 3582/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,13%@729,0%@729,0%@729,4%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.187C CV1@-256C GPU@-256C tj@45.281C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2817mW/2867mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/553mW NC 0mW/0mW
09-13-2026 12:05:12 RAM 3582/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,26%@729,0%@729,0%@729,4%@729,4%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 0%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.687C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.937C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 399mW/665mW VIN_SYS_5V0 2717mW/2817mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/536mW NC 0mW/0mW
09-13-2026 12:05:12 RAM 3582/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,20%@729,0%@729,0%@729,0%@1113,13%@1113,0%@1113,0%@1113,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.406C CV1@-256C GPU@-256C tj@45.093C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 2717mW/2792mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/502mW NC 0mW/0mW
09-13-2026 12:05:13 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,20%@729,0%@729,0%@729,4%@729,4%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.937C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 399mW/558mW VIN_SYS_5V0 2616mW/2757mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/482mW NC 0mW/0mW
09-13-2026 12:05:13 RAM 3585/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@1036,0%@1036,14%@1036,21%@1036,0%@729,0%@729,4%@729,4%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.406C CV1@-256C GPU@-256C tj@44.875C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 2616mW/2733mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/469mW NC 0mW/0mW
09-13-2026 12:05:13 RAM 3585/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,0%@729,0%@729,0%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.062C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.062C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/456mW VIN_SYS_5V0 2512mW/2701mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/459mW NC 0mW/0mW
09-13-2026 12:05:13 RAM 3585/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@729,0%@729,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@45.281C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/399mW VIN_SYS_5V0 2512mW/2678mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/439mW NC 0mW/0mW
09-13-2026 12:05:14 RAM 3585/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [24%@729,0%@729,0%@729,0%@729,4%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.062C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.062C SOC1@41.437C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/354mW VIN_SYS_5V0 2512mW/2659mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/424mW NC 0mW/0mW
09-13-2026 12:05:14 RAM 3585/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,18%@729,0%@729,0%@729,8%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.531C Tdiode@36C SOC0@42.312C CV1@-256C GPU@-256C tj@45.093C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/319mW VIN_SYS_5V0 2512mW/2644mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/412mW NC 0mW/0mW
09-13-2026 12:05:14 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,4%@729,8%@729,31%@729,0%@729,4%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.906C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/290mW VIN_SYS_5V0 2512mW/2632mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/401mW NC 0mW/0mW
