09-13-2026 12:05:46 RAM 3593/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@883,0%@729,4%@729,0%@729,39%@806,25%@729,12%@729,12%@729,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.187C CV1@-256C GPU@-256C tj@45C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1996mW/1996mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2817mW/2817mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/503mW NC 0mW/0mW
09-13-2026 12:05:46 RAM 3593/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,18%@729,0%@729,0%@729,3%@729,0%@729,0%@785,3%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.531C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@45.093C SOC1@41.5C CV2@-256C VDD_GPU_SOC 1996mW/1996mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 2717mW/2767mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/503mW NC 0mW/0mW
09-13-2026 12:05:46 RAM 3593/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,16%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.218C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.187C CV1@-256C GPU@-256C tj@45.218C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1996mW/1996mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 2717mW/2750mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/503mW NC 0mW/0mW
09-13-2026 12:05:47 RAM 3593/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,17%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.906C SOC1@41.437C CV2@-256C VDD_GPU_SOC 1996mW/1996mW VDD_CPU_CV 399mW/498mW VIN_SYS_5V0 2616mW/2716mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/477mW NC 0mW/0mW
09-13-2026 12:05:47 RAM 3593/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,20%@729,0%@729,0%@729,0%@729,0%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.812C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.281C CV1@-256C GPU@-256C tj@44.812C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/399mW VIN_SYS_5V0 2516mW/2676mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/462mW NC 0mW/0mW
09-13-2026 12:05:47 RAM 3590/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,4%@729,18%@729,4%@729,0%@729,4%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.25C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/332mW VIN_SYS_5V0 2516mW/2649mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/452mW NC 0mW/0mW
09-13-2026 12:05:47 RAM 3590/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,17%@729,0%@729,4%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.218C CV1@-256C GPU@-256C tj@44.937C SOC1@41.687C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/285mW VIN_SYS_5V0 2512mW/2630mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/430mW NC 0mW/0mW
09-13-2026 12:05:48 RAM 3590/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,17%@729,0%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.968C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/249mW VIN_SYS_5V0 2512mW/2615mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/414mW NC 0mW/0mW
09-13-2026 12:05:48 RAM 3590/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,13%@729,0%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.781C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/221mW VIN_SYS_5V0 2512mW/2603mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/402mW NC 0mW/0mW
09-13-2026 12:05:48 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@729,4%@729,24%@729,0%@729,4%@729,4%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.5C Tdiode@35.75C SOC0@42.281C CV1@-256C GPU@-256C tj@44.906C SOC1@41.718C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/199mW VIN_SYS_5V0 2512mW/2594mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/391mW NC 0mW/0mW
09-13-2026 12:05:48 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,20%@729,0%@729,0%@729,0%@729,8%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.312C CV1@-256C GPU@-256C tj@45.093C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/181mW VIN_SYS_5V0 2512mW/2587mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/383mW NC 0mW/0mW
