stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,18060653019212,18060653374302,18060653619233,18060660222611,7.203399,0.244931,6.603378,15360
live,1,18060663019212,18060663222136,18060663312889,18060666460064,3.440852,0.090753,3.147175,15360
live,2,18060673019212,18060673161716,18060673255573,18060677708844,4.689632,0.093857,4.453271,15360
live,3,18060683019212,18060683151344,18060683278577,18060688026924,5.007712,0.127233,4.748347,15360
live,4,18060693019212,18060693171468,18060693261741,18060697747173,4.727961,0.090273,4.485432,15360
live,5,18060703019212,18060703168201,18060703484940,18060706691668,3.672456,0.316739,3.206728,15360
live,6,18060713019212,18060713141892,18060713409864,18060718895372,5.87616,0.267972,5.485508,15360
live,7,18060723019212,18060723136321,18060723217698,18060727755450,4.736238,0.081377,4.537752,15360
live,8,18060733019212,18060733153661,18060733237278,18060737662037,4.642825,0.083617,4.424759,15360
live,9,18060743019212,18060743141753,18060743264315,18060747926677,4.907465,0.122562,4.662362,15360
live,10,18060753019212,18060753150645,18060753236247,18060757994866,4.975654,0.085602,4.758619,15360
live,11,18060763019212,18060763153170,18060763218323,18060767549480,4.530268,0.065153,4.331157,15360
live,12,18060773019212,18060773137358,18060773219791,18060777616133,4.596921,0.082433,4.396342,15360
live,13,18060783019212,18060783144650,18060783213035,18060787587969,4.568757,0.068385,4.374934,15360
live,14,18060793019212,18060793140486,18060793241352,18060797592830,4.573618,0.100866,4.351478,15360
live,15,18060803019212,18060803142723,18060803299397,18060807472568,4.453356,0.156674,4.173171,15360
live,16,18060813019212,18060813224448,18060813508675,18060818358464,5.339252,0.284227,4.849789,15360
live,17,18060823019212,18060823167611,18060823430367,18060827623379,4.604167,0.262756,4.193012,15360
live,18,18060833019212,18060833154871,18060833276057,18060837570350,4.551138,0.121186,4.294293,15360
live,19,18060843019212,18060843161940,18060843246005,18060847653164,4.633952,0.084065,4.407159,15360
live,20,18060853019212,18060853156336,18060853274321,18060859497919,6.478707,0.117985,6.223598,15360
live,21,18060863019212,18060863152460,18060863228525,18060867301536,4.282324,0.076065,4.073011,15360
live,22,18060873019212,18060873144232,18060873218377,18060877148986,4.129774,0.074145,3.930609,15360
live,23,18060883019212,18060883144420,18060883208581,18060887102838,4.083626,0.064161,3.894257,15360
live,24,18060893019212,18060893138689,18060893200545,18060897096978,4.077766,0.061856,3.896433,15360
live,25,18060903019212,18060903143197,18060903212766,18060907659317,4.640105,0.069569,4.446551,15360
live,26,18060913019212,18060913147961,18060913409725,18060917787411,4.768199,0.261764,4.377686,15360
live,27,18060923019212,18060923142869,18060923406649,18060927821104,4.801892,0.26378,4.414455,15360
live,28,18060933019212,18060933156978,18060933415637,18060937800076,4.780864,0.258659,4.384439,15360
live,29,18060943019212,18060943146734,18060943407729,18060947564965,4.545753,0.260995,4.157236,15360
live,30,18060953019212,18060953156970,18060953298988,18060958037767,5.018555,0.142018,4.738779,15360
live,31,18060963019212,18060963157191,18060963243496,18060967516925,4.497713,0.086305,4.273429,15360
live,32,18060973019212,18060973153763,18060973238020,18060977547609,4.528397,0.084257,4.309589,15360
live,33,18060983019212,18060983142943,18060983250400,18060987282546,4.263334,0.107457,4.032146,15360
live,34,18060993019212,18060993145499,18060993255164,18060997411824,4.392612,0.109665,4.15666,15360
live,35,18061003019212,18061003149431,18061003267577,18061009014400,5.995188,0.118146,5.746823,15360
live,36,18061013019212,18061013158164,18061013243669,18061017555018,4.535806,0.085505,4.311349,15360
live,37,18061023019212,18061023145680,18061023251473,18061027237155,4.217943,0.105793,3.985682,15360
live,38,18061033019212,18061033145964,18061033204493,18061037178558,4.159346,0.058529,3.974065,15360
live,39,18061043019212,18061043173769,18061043238314,18061047494686,4.475474,0.064545,4.256372,15360
live,40,18061053019212,18061053149637,18061053419016,18061060400287,7.381075,0.269379,6.981271,15360
live,41,18061063019212,18061063150145,18061063398660,18061067967709,4.948497,0.248515,4.569049,15360
live,42,18061073019212,18061073150653,18061073413344,18061077472595,4.453383,0.262691,4.059251,15360
live,43,18061083019212,18061083148537,18061083409789,18061087554096,4.534884,0.261252,4.144307,15360
live,44,18061093019212,18061093137813,18061093210134,18061097188904,4.169692,0.072321,3.97877,15360
live,45,18061103019212,18061103145010,18061103253491,18061107266725,4.247513,0.108481,4.013234,15360
live,46,18061113019212,18061113152846,18061113415377,18061117829064,4.809852,0.262531,4.413687,15360
live,47,18061123019212,18061123141578,18061123249932,18061127293086,4.273874,0.108354,4.043154,15360
live,48,18061133019212,18061133146278,18061133254664,18061137311098,4.291886,0.108386,4.056434,15360
live,49,18061143019212,18061143154243,18061143415238,18061147522745,4.503533,0.260995,4.107507,15360
live,50,18061153019212,18061153137503,18061153241472,18061157377108,4.357896,0.103969,4.135636,15360
