case,backend,threads,n,median_ms,p95_ms,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,known_array_bytes,read_bytes,write_bytes,effective_MB_s,effective_Mb_s,directory
fft,cpu,1,1200,0.044864,0.09043459999999998,53145600,1314816,,32768,32768,32832,1462.1968616262482,11697.574893009985,cpu_1t_fft
beam1,cpu,1,1200,0.025248,0.059021799999999985,54099968,1757184,,107245,65664,4104,2763.3079847908743,22106.463878326995,cpu_1t_beam1
beam4,cpu,1,1200,0.075681,0.1103786,55812096,3977216,,211909,262656,16416,3687.4777024616483,29499.821619693186,cpu_1t_beam4
audio1,cpu,1,1200,0.27568349999999997,0.43389625,53612544,1785856,,82605,172176,77916,907.1707229485987,7257.36578358879,cpu_1t_audio1
audio4,cpu,1,1200,0.3509965,0.5272005499999999,54136832,1974272,,187269,381480,90240,1343.945025092843,10751.560200742744,cpu_1t_audio4
replay500,cpu,1,1200,10.964347,15.176200049999998,62513152,10510336,,931717,785408,98176,80.58701535075458,644.6961228060367,cpu_1t_replay500
replay750,cpu,1,1200,15.98081,21.13859985,66363392,14082048,,1315717,1169408,146176,82.32273583128763,658.581886650301,cpu_1t_replay750
replay1000,cpu,1,1200,22.4597555,28.46853915,71376896,19578880,,1699717,1553408,194176,77.8095736616545,622.476589293236,cpu_1t_replay1000
copy1,cpu,1,1200,0.090145,0.14416999999999974,55046144,3043328,,2097152,1048576,1048576,23264.207665427923,186113.66132342338,cpu_1t_copy1
copy16,cpu,1,1200,3.9707385,5.4736066,86417408,34787328,,33554432,16777216,16777216,8450.426035358409,67603.40828286727,cpu_1t_copy16
copy128,cpu,1,1200,32.806414000000004,40.6797626,322060288,270118912,,268435456,134217728,134217728,8182.407745022055,65459.26196017644,cpu_1t_copy128
fft,cpu,4,1200,0.044736,0.05719459999999999,53731328,995328,,32768,32768,32832,1466.3805436337625,11731.0443490701,cpu_4t_fft
beam1,cpu,4,1200,0.025568999999999998,0.03370019999999999,55611392,3366912,,107245,65664,4104,2728.6166842661037,21828.93347412883,cpu_4t_beam1
beam4,cpu,4,1200,0.074529,0.0781498,55492608,3444736,,211909,262656,16416,3744.475304914865,29955.80243931892,cpu_4t_beam4
audio1,cpu,4,1200,0.29369999999999996,0.3198984,57565184,3305472,,82605,172176,77916,851.5219611848827,6812.1756894790615,cpu_4t_audio1
audio4,cpu,4,1200,0.3616525,0.40146099999999996,55595008,1409024,,187269,381480,90240,1304.3460227704772,10434.768182163818,cpu_4t_audio4
replay500,cpu,4,1200,9.9495335,18.1768786,62259200,10182656,,931717,785408,98176,88.80657570528308,710.4526056422646,cpu_4t_replay500
replay750,cpu,4,1200,14.784346,25.138452,67125248,14163968,,1315717,1169408,146176,88.98493041220762,711.8794432976609,cpu_4t_replay750
replay1000,cpu,4,1200,18.915437500000003,30.064067599999998,69529600,17420288,,1699717,1553408,194176,92.38929842357597,739.1143873886077,cpu_4t_replay1000
copy1,cpu,4,1200,0.088769,0.1068234,54693888,2682880,,2097152,1048576,1048576,23624.823981344838,188998.5918507587,cpu_4t_copy1
copy16,cpu,4,1200,3.959938,4.01084845,90435584,34209792,,33554432,16777216,16777216,8473.47407964468,67787.79263715744,cpu_4t_copy16
copy128,cpu,4,1200,31.766703,31.819507849999997,322744320,269647872,,268435456,134217728,134217728,8450.214553269818,67601.71642615854,cpu_4t_copy128
fft,gpu,1,1200,0.1128015,0.1214756,233050112,107864064,132608,32768,32768,32832,581.5525502763704,4652.420402210963,gpu_1t_fft
beam1,gpu,1,1200,1.3213765,1.3866915499999999,1345695744,1220141056,276480,107245,65664,4104,52.799485990556065,422.3958879244485,gpu_1t_beam1
beam4,gpu,1,1200,1.307057,1.3694026,1348378624,1220739072,472064,211909,262656,16416,213.51172902176418,1708.0938321741135,gpu_1t_beam4
audio1,gpu,1,1200,1.999161,3.065359,1356726272,1231597568,276480,90797,172176,77916,125.09847881186155,1000.7878304948924,gpu_1t_audio1
audio4,gpu,1,1200,2.0363455000000004,3.15731195,1353371648,1228169216,472064,195461,381480,90240,231.65027742099753,1853.2022193679802,gpu_1t_audio4
replay500,gpu,1,1200,1.986425,2.8592606499999995,1352056832,1228865536,7624192,931717,785408,98176,444.81115571944576,3558.489245755566,gpu_1t_replay500
replay750,gpu,1,1200,1.983737,2.79700945,1357291520,1231794176,11289600,1315717,1169408,146176,663.184686276457,5305.477490211656,gpu_1t_replay750
replay1000,gpu,1,1200,1.9862650000000002,2.92034805,1359466496,1232338944,14955008,1699717,1553408,194176,879.8342617928624,7038.6740943428995,gpu_1t_replay1000
copy1,gpu,1,1200,0.113281,0.12267234999999997,242397184,117927936,2097152,2097152,1048576,1048576,18512.83092486825,148102.647398946,gpu_1t_copy1
copy16,gpu,1,1200,0.79905,1.15056765,245501952,117747712,33554432,33554432,16777216,16777216,41992.90657655966,335943.2526124773,gpu_1t_copy16
copy128,gpu,1,1200,3.656014,4.2395714,244867072,119640064,268435456,268435456,134217728,134217728,73422.983610019,587383.868880152,gpu_1t_copy128
