timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
13526998889695,1.0,665.0,31.0,2358.0,0.0
13527219971888,2.0,665.0,39.0,2417.0,0.0
13527442496756,2.0,665.0,17.0,2480.0,0.0
13527664600690,2.0,665.0,14.0,2577.0,0.0
13527886405900,3.0,665.0,20.0,2668.0,0.0
13528108999056,3.0,665.0,25.0,2775.0,0.0
13528329983552,3.0,665.0,7.0,2846.0,0.0
13528552160415,4.0,665.0,52.0,2913.0,0.0
13528774187868,3.0,665.0,19.0,2918.0,0.0
13528995090635,3.0,665.0,59.0,2918.0,0.0
13529216421791,3.0,665.0,61.0,2918.0,0.0
13529437650642,3.0,665.0,58.0,2918.0,0.0
13529658502112,2.0,665.0,59.0,2918.0,0.0
13529880811873,2.0,665.0,59.0,2919.0,0.0
13530103283683,2.0,665.0,58.0,2919.0,0.0
13530325875751,2.0,665.0,55.0,2919.0,0.0
13530548584461,2.0,665.0,61.0,2919.0,0.0
13530771122128,2.0,665.0,59.0,2919.0,0.0
13530993309199,2.0,665.0,58.0,2919.0,0.0
13531216110965,2.0,665.0,61.0,2919.0,0.0
13531438214515,2.0,665.0,20.0,2919.0,0.0
13531659951980,2.0,665.0,0.0,2919.0,0.0
13531882077738,2.0,665.0,0.0,2919.0,0.0
