timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
13507815694189,1.0,665.0,44.0,2344.0,0.0
13508037329991,2.0,665.0,21.0,2403.0,0.0
13508260074127,2.0,665.0,21.0,2490.0,0.0
13508481588967,2.0,665.0,15.0,2563.0,0.0
13508703750088,3.0,665.0,6.0,2645.0,0.0
13508926207244,3.0,665.0,19.0,2747.0,0.0
13509148360236,3.0,665.0,28.0,2843.0,0.0
13509370244713,4.0,665.0,32.0,2874.0,0.0
13509592714414,3.0,665.0,70.0,2874.0,0.0
13509816540547,3.0,665.0,69.0,2874.0,0.0
13510040501306,3.0,665.0,64.0,2874.0,0.0
13510263184929,2.0,665.0,70.0,2874.0,0.0
13510485025341,2.0,665.0,69.0,2874.0,0.0
13510708864563,2.0,665.0,70.0,2874.0,0.0
13510932190562,2.0,665.0,70.0,2874.0,0.0
