timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
13561094136196,12.0,665.0,99.0,2468.0,0.0
13561317466191,10.0,2133.0,93.0,2468.0,0.0
13561539326119,16.0,2133.0,96.0,2468.0,0.0
13561760581495,14.0,3199.0,96.0,2468.0,0.0
13561981931561,17.0,3199.0,96.0,2468.0,0.0
13562204560714,20.0,3199.0,94.0,2468.0,0.0
13562425847291,22.0,3199.0,96.0,2468.0,0.0
13562647654611,24.0,3199.0,96.0,2468.0,0.0
13562870447318,26.0,3199.0,95.0,2468.0,0.0
13563092225421,28.0,3199.0,96.0,2468.0,0.0
13563312531122,29.0,3199.0,96.0,2468.0,0.0
13563533143802,30.0,3199.0,96.0,2468.0,0.0
13563754258120,31.0,3199.0,96.0,2468.0,0.0
13563974415659,31.0,3199.0,94.0,2468.0,0.0
13564197032492,32.0,3199.0,96.0,2468.0,0.0
13564418959013,32.0,3199.0,94.0,2469.0,0.0
13564641314563,33.0,3199.0,96.0,2469.0,0.0
13564863122362,33.0,3199.0,96.0,2469.0,0.0
13565085147156,33.0,3199.0,95.0,2469.0,0.0
13565308255291,34.0,3199.0,95.0,2469.0,0.0
13565530470711,34.0,3199.0,95.0,2469.0,0.0
13565750384663,32.0,3199.0,0.0,2787.0,0.0
13565969859504,27.0,3199.0,0.0,2779.0,0.0
