09-13-2026 11:11:33 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [68%@1344,0%@960,0%@960,0%@1036,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 12%@665 GR3D_FREQ 99%@[305,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.031C Tboard@37C SOC2@43.718C Tdiode@38C SOC0@44.187C CV1@-256C GPU@43.187C tj@47.031C SOC1@43.625C CV2@-256C VDD_GPU_SOC 3591mW/3591mW VDD_CPU_CV 797mW/797mW VIN_SYS_5V0 3421mW/3421mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/805mW NC 0mW/0mW
09-13-2026 11:11:33 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@729,0%@729,0%@729,0%@733,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 10%@2133 GR3D_FREQ 93%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.031C Tboard@37C SOC2@43.718C Tdiode@38C SOC0@44.281C CV1@-256C GPU@43.531C tj@47.031C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4788mW/4189mW VDD_CPU_CV 398mW/597mW VIN_SYS_5V0 4730mW/4075mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1710mW/1257mW NC 0mW/0mW
09-13-2026 11:11:33 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.125C Tboard@37C SOC2@43.781C Tdiode@38C SOC0@44.312C CV1@-256C GPU@43.343C tj@47.375C SOC1@43.562C CV2@-256C VDD_GPU_SOC 5586mW/4655mW VDD_CPU_CV 399mW/531mW VIN_SYS_5V0 5443mW/4531mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2214mW/1576mW NC 0mW/0mW
09-13-2026 11:11:33 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 14%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.218C Tboard@37C SOC2@43.718C Tdiode@38.25C SOC0@44.437C CV1@-256C GPU@43.25C tj@47.093C SOC1@43.562C CV2@-256C VDD_GPU_SOC 6384mW/5087mW VDD_CPU_CV 399mW/498mW VIN_SYS_5V0 6038mW/4908mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2616mW/1836mW NC 0mW/0mW
09-13-2026 11:11:34 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@838,0%@1265,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 17%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.406C Tboard@37C SOC2@43.843C Tdiode@38.25C SOC0@44.281C CV1@-256C GPU@43.562C tj@47.187C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7182mW/5506mW VDD_CPU_CV 399mW/478mW VIN_SYS_5V0 6642mW/5254mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2913mW/2051mW NC 0mW/0mW
09-13-2026 11:11:34 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@1727,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 20%@3199 GR3D_FREQ 94%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.281C Tboard@37C SOC2@43.875C Tdiode@38.25C SOC0@44.343C CV1@-256C GPU@43.562C tj@47.281C SOC1@43.593C CV2@-256C VDD_GPU_SOC 7581mW/5852mW VDD_CPU_CV 399mW/465mW VIN_SYS_5V0 7033mW/5551mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3014mW/2212mW NC 0mW/0mW
09-13-2026 11:11:34 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 22%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.281C Tboard@37C SOC2@43.843C Tdiode@38.25C SOC0@44.375C CV1@-256C GPU@43.593C tj@47.281C SOC1@43.625C CV2@-256C VDD_GPU_SOC 7980mW/6156mW VDD_CPU_CV 399mW/455mW VIN_SYS_5V0 7234mW/5791mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3109mW/2340mW NC 0mW/0mW
09-13-2026 11:11:34 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@1728,0%@1727,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 24%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.593C Tboard@37C SOC2@43.843C Tdiode@38.25C SOC0@44.218C CV1@-256C GPU@43.843C tj@47.593C SOC1@43.625C CV2@-256C VDD_GPU_SOC 7980mW/6384mW VDD_CPU_CV 399mW/448mW VIN_SYS_5V0 7335mW/5984mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3210mW/2448mW NC 0mW/0mW
09-13-2026 11:11:34 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@1232,0%@1728,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 26%@3199 GR3D_FREQ 95%@[610,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.281C Tboard@37C SOC2@43.937C Tdiode@38.25C SOC0@44.406C CV1@-256C GPU@43.875C tj@47.375C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7980mW/6561mW VDD_CPU_CV 399mW/443mW VIN_SYS_5V0 7435mW/6145mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3210mW/2533mW NC 0mW/0mW
09-13-2026 11:11:35 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@762,4%@1728,0%@1009,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 28%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.343C Tboard@37C SOC2@43.843C Tdiode@38.25C SOC0@44.375C CV1@-256C GPU@43.625C tj@47.437C SOC1@43.656C CV2@-256C VDD_GPU_SOC 7984mW/6703mW VDD_CPU_CV 399mW/438mW VIN_SYS_5V0 7435mW/6274mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2611mW NC 0mW/0mW
09-13-2026 11:11:35 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@820,0%@1728,0%@1728,0%@1060,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 29%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.375C Tboard@37C SOC2@43.812C Tdiode@38.5C SOC0@44.375C CV1@-256C GPU@43.625C tj@47.562C SOC1@43.656C CV2@-256C VDD_GPU_SOC 7984mW/6820mW VDD_CPU_CV 399mW/435mW VIN_SYS_5V0 7435mW/6380mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2674mW NC 0mW/0mW
