timestamp_ns,rss_bytes,rss_lifetime_peak_bytes,swap_bytes,system_available_bytes,system_total_bytes,minor_faults,major_faults
13548038751844,213200896,226873344,0,62753898496,65851252736,38601,1
13548095152006,223674368,226873344,0,62749511680,65851252736,41381,1
13548146203429,226701312,226873344,0,62748479488,65851252736,41684,1
13548197136387,232488960,232488960,0,62744866816,65851252736,42824,1
13548248448069,241684480,241684480,0,62743318528,65851252736,43445,1
13548299732327,261861376,261861376,0,62742040576,65851252736,45384,1
13548351079370,292376576,292376576,0,62728523776,65851252736,49427,1
13548402495182,329633792,329633792,0,62709780480,65851252736,54223,1
13548453827376,360546304,360546304,0,62697136128,65851252736,59542,1
13548505244372,395411456,395411456,0,62681071616,65851252736,65345,1
13548556518646,420933632,420933632,0,62669459456,65851252736,69947,1
13548607720439,446562304,446562304,0,62658879488,65851252736,74283,1
13548659032217,477773824,477773824,0,62644428800,65851252736,79733,1
13548710374236,517009408,517009408,0,62622912512,65851252736,85997,1
13548761705278,562507776,562507776,0,62596263936,65851252736,90965,1
13548813136322,592510976,592510976,0,62582554624,65851252736,96776,1
13548864609766,636657664,636657664,0,62562639872,65851252736,102360,1
13548916051658,677957632,677957632,0,62539186176,65851252736,108081,1
13548967400429,717606912,717606912,0,62514958336,65851252736,113581,1
13549018781776,747593728,747593728,0,62501249024,65851252736,118836,1
13549070185043,815804416,815804416,0,62448451584,65851252736,123864,1
13549121563031,855064576,855064576,0,62432989184,65851252736,129610,1
13549173017243,896073728,896073728,0,62409211904,65851252736,133976,1
13549224339485,924061696,924061696,0,62399275008,65851252736,138063,1
13549275706368,955641856,955641856,0,62388137984,65851252736,143775,1
13549327109123,998109184,998109184,0,62363103232,65851252736,149710,1
13549378501607,1038348288,1038348288,0,62343487488,65851252736,154656,1
13549429844265,1069133824,1069133824,0,62328188928,65851252736,160137,1
13549481290093,1117716480,1117716480,0,62297894912,65851252736,165913,1
13549532782706,1163665408,1163665408,0,62273826816,65851252736,171403,1
13549584239638,1196920832,1196920832,0,62259179520,65851252736,175838,1
13549635656986,1247363072,1247363072,0,62228692992,65851252736,182469,1
13549687037981,1285120000,1285120000,0,62203060224,65851252736,186958,1
13549738416576,1323544576,1323544576,0,62183260160,65851252736,191821,1
13549789025945,1339072512,1339072512,0,62163472384,65851252736,193997,1
13549840477885,1343397888,1343397888,0,62157213696,65851252736,194361,1
13549891427643,1348718592,1348718592,0,62144503808,65851252736,194855,1
13549942483354,1352282112,1352282112,0,62141857792,65851252736,195764,1
13549993342775,1355206656,1355206656,0,62138761216,65851252736,196589,1
13550044649561,1358020608,1358020608,0,62136180736,65851252736,197399,1
13550097026505,1358020608,1358020608,0,62135939072,65851252736,197413,1
13550147928614,1358077952,1358077952,0,62135939072,65851252736,197420,1
13550198779906,1358077952,1358077952,0,62135939072,65851252736,197428,1
13550249693216,1358077952,1358077952,0,62135939072,65851252736,197434,1
13550300619741,1358077952,1358077952,0,62135939072,65851252736,197442,1
13550351351960,1358077952,1358077952,0,62135681024,65851252736,197447,1
13550402063187,1358077952,1358077952,0,62135681024,65851252736,197455,1
13550452779662,1358077952,1358077952,0,62135681024,65851252736,197461,1
13550503395335,1358327808,1358327808,0,62135681024,65851252736,197468,1
13550553986816,1358327808,1358327808,0,62135681024,65851252736,197474,1
13550604727644,1358327808,1358327808,0,62135681024,65851252736,197480,1
13550655376885,1358327808,1358327808,0,62135681024,65851252736,197483,1
13550706038896,1358422016,1358422016,0,62135681024,65851252736,197489,1
