timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
13534674029440,1.0,665.0,10.0,2388.0,0.0
13534897062569,2.0,665.0,47.0,2437.0,0.0
13535120331733,2.0,665.0,8.0,2505.0,0.0
13535342672213,2.0,665.0,28.0,2591.0,0.0
13535564996885,3.0,665.0,0.0,2684.0,0.0
13535789890934,3.0,665.0,24.0,2778.0,0.0
13536011767216,3.0,665.0,2.0,2877.0,0.0
13536233748140,4.0,665.0,52.0,2951.0,0.0
13536456866742,3.0,665.0,80.0,2953.0,0.0
13536678133065,1.0,2133.0,65.0,2953.0,0.0
13536898969366,1.0,2133.0,66.0,2953.0,0.0
13537120048358,2.0,2133.0,66.0,2953.0,0.0
13537340904532,2.0,2133.0,64.0,2953.0,0.0
13537562695853,2.0,2133.0,61.0,2953.0,0.0
13537783482106,2.0,2133.0,61.0,2954.0,0.0
13538004405768,3.0,2133.0,58.0,2954.0,0.0
13538225696251,3.0,2133.0,61.0,2954.0,0.0
13538446811884,3.0,2133.0,58.0,2954.0,0.0
13538667850460,3.0,2133.0,59.0,2954.0,0.0
13538889291441,3.0,2133.0,61.0,2954.0,0.0
