case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,0,8.180357,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,0,8.202821,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,1,8.138308,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,1,8.161348,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,2,8.120996,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,2,8.144228,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,3,7.958594,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,3,7.97853,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,4,7.351451,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,4,7.373595,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,5,7.48582,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,5,7.506333,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,6,7.424828,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,6,7.443164,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,7,7.142296,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,7,7.16396,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,8,6.69381,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,8,6.71685,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,9,6.998358,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,9,7.019575,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,10,6.600849,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,10,6.620625,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,11,6.715219,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,11,6.736147,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,12,7.135576,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,12,7.154648,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,13,7.264985,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,13,7.285401,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,14,7.302746,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,14,7.325691,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,15,7.115384,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,15,7.135256,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,16,7.01375,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,16,7.035063,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,17,6.884693,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,17,6.904821,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,18,7.400379,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,18,7.419195,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,19,7.314939,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,19,7.337851,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,20,7.377467,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,20,7.402587,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,21,7.92669,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,21,7.95117,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,22,7.376859,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,22,7.399644,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,23,7.400571,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,23,7.422939,40.0,
