case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_640x360_throughput_nvdec_native,0,87207936,67510272,59061248,1312.1897931589945,0.0,0.0,4.963036450157786
jetson_jetson_test_640x360_paced_nvdec_native,0,84680704,65011712,61225984,24.99213119813909,0.0,0.0,0.09452661402347969
jetson_jetson_test_640x360_paced_software_native,0,87568384,67903488,67437568,25.001770968565108,0.0,0.0,0.09456307409369581
jetson_jetson_test_640x360_throughput_nvdec_rgb,0,85151744,65392640,60220416,405.0971410301897,280.0031438800671,560.0062877601342,1.532180700741004
jetson_jetson_test_640x360_paced_nvdec_rgb,0,84758528,65093632,59720704,25.00187405825848,17.281295349068262,34.562590698136525,0.0945634640052075
jetson_jetson_test_640x360_paced_software_rgb,0,92446720,72736768,71037952,24.99619723121458,17.277371526215514,34.55474305243103,0.09454199279754608
jetson_jetson_test_640x360_throughput_software_native,0,95100928,75411456,70026240,1795.3745584508226,0.0,0.0,6.790564460820884
jetson_jetson_test_640x360_throughput_software_rgb,0,96796672,77107200,74785792,284.5262101057255,196.6645164250775,393.329032850155,1.0761506903512903
jetson_jetson_test_640x360_throughput_nvdec_rgb,1,87244800,67604480,59910144,381.94563001393357,264.0008194656309,528.0016389312618,1.4446157816653178
jetson_jetson_test_640x360_paced_software_native,1,89538560,69926912,69694464,24.996954066623424,0.0,0.0,0.09454485534208074
jetson_jetson_test_640x360_throughput_software_native,1,90546176,70844416,67246080,1663.3946540237362,0.0,0.0,6.291382802973159
jetson_jetson_test_640x360_throughput_nvdec_native,1,80060416,60456960,56848384,1513.3806720161795,0.0,0.0,5.723991664421141
jetson_jetson_test_640x360_throughput_software_rgb,1,99065856,79360000,77131776,264.572106945472,182.87224032071023,365.74448064142047,1.0006791832333048
jetson_jetson_test_640x360_paced_nvdec_rgb,1,85307392,65630208,61984768,24.9950636217178,17.276587975331342,34.553175950662684,0.09453770519732078
jetson_jetson_test_640x360_paced_software_rgb,1,88686592,69017600,68542464,24.995928947442703,17.277186088472398,34.554372176944796,0.09454097807989946
jetson_jetson_test_640x360_paced_nvdec_native,1,83042304,63242240,55066624,24.85858805956602,0.0,0.0,0.09402151981541469
jetson_jetson_test_640x360_paced_nvdec_rgb,2,87420928,67715072,64237568,25.000619742711855,17.280428366162432,34.560856732324865,0.0945587198639176
jetson_jetson_test_640x360_paced_software_native,2,89645056,69824512,69144576,25.001550427522897,0.0,0.0,0.09456223995122881
jetson_jetson_test_640x360_throughput_nvdec_rgb,2,83275776,63565824,60160000,409.71121386851667,283.1923910259187,566.3847820518374,1.549632300958965
jetson_jetson_test_640x360_paced_nvdec_native,2,78004224,58335232,54991872,24.989960249926025,0.0,0.0,0.09451840294367322
jetson_jetson_test_640x360_throughput_software_rgb,2,96886784,77230080,76931072,283.4301738465766,195.90693616275377,391.81387232550753,1.0720052016931632
jetson_jetson_test_640x360_paced_software_rgb,2,90497024,70787072,70333440,24.999881560963797,17.27991813493818,34.55983626987636,0.09455592787228534
jetson_jetson_test_640x360_throughput_software_native,2,94683136,74964992,71464960,1938.851486838842,0.0,0.0,7.3332307954157745
jetson_jetson_test_640x360_throughput_nvdec_native,2,82464768,62767104,58954752,1277.9769086898193,0.0,0.0,4.833634595661744
jetson_jetson_test_640x360_paced_nvdec_native,3,79790080,60002304,56758272,24.995511565214766,0.0,0.0,0.09453939943386692
jetson_jetson_test_640x360_throughput_software_native,3,93179904,73547776,67764224,1964.2652429883115,0.0,0.0,7.429352102533697
jetson_jetson_test_640x360_paced_software_native,3,84905984,65134592,62821376,24.99926598212239,0.0,0.0,0.09455359959611387
jetson_jetson_test_640x360_throughput_nvdec_native,3,78131200,58343424,54575104,1369.4603467793445,0.0,0.0,5.179648289862955
jetson_jetson_test_640x360_paced_software_rgb,3,88588288,68915200,66564096,25.003702255401386,17.28255899893344,34.56511799786688,0.09457037871305359
jetson_jetson_test_640x360_throughput_software_rgb,3,94052352,74354688,74790912,288.39215591684615,199.33665816972407,398.67331633944815,1.09077268335486
jetson_jetson_test_640x360_throughput_nvdec_rgb,3,85467136,65716224,61903872,402.9201314733256,278.4983948743627,556.9967897487254,1.523946695386453
jetson_jetson_test_640x360_paced_nvdec_rgb,3,87506944,67645440,64130048,24.92329729386797,17.226983089521543,34.453966179043086,0.09426626664257086
jetson_jetson_test_640x360_throughput_nvdec_rgb,4,87314432,67674112,62175232,398.53907451213325,275.4702083027865,550.940416605573,1.5073764206426827
jetson_jetson_test_640x360_throughput_software_native,4,84500480,64798720,61238272,2030.0955258043468,0.0,0.0,7.67833902107513
jetson_jetson_test_640x360_throughput_nvdec_native,4,77701120,57913344,54616064,1509.6623099197104,0.0,0.0,5.709927870665183
jetson_jetson_test_640x360_paced_nvdec_rgb,4,85430272,65708032,62049280,24.990330892957807,17.273316713212438,34.546633426424876,0.09451980481014584
jetson_jetson_test_640x360_throughput_software_rgb,4,96808960,77103104,74915840,276.673698591773,191.2368604666335,382.473720933267,1.0464504891515787
jetson_jetson_test_640x360_paced_software_native,4,87035904,67252224,67100672,24.99814012998569,0.0,0.0,0.0945493413362028
jetson_jetson_test_640x360_paced_software_rgb,4,87842816,68145152,66699264,24.999695305727013,17.279789395318513,34.559578790637026,0.09455522340747846
jetson_jetson_test_640x360_paced_nvdec_native,4,83288064,63819776,56897536,24.99693979578079,0.0,0.0,0.09454480136611436
jetson_jetson_test_640x360_paced_software_native,5,85458944,65642496,64984064,24.997061100559375,0.0,0.0,0.09454526017172374
jetson_jetson_test_640x360_paced_nvdec_rgb,5,86769664,67158016,62083072,24.9902016815526,17.273227402289155,34.54645480457831,0.09451931609965808
jetson_jetson_test_640x360_throughput_nvdec_rgb,5,85671936,65974272,62310400,385.58391288018737,266.5156005827855,533.031201165571,1.4583766953497106
jetson_jetson_test_640x360_paced_nvdec_native,5,83869696,64327680,61054976,24.995015394217777,0.0,0.0,0.09453752278861606
jetson_jetson_test_640x360_throughput_software_rgb,5,94670848,74948608,72800256,271.9851765231165,187.99615401277813,375.99230802555627,1.0287173029574594
jetson_jetson_test_640x360_throughput_nvdec_native,5,82087936,62402560,56563712,1346.8625099970643,0.0,0.0,5.094177507945675
jetson_jetson_test_640x360_paced_software_rgb,5,91054080,71364608,70856704,25.00034949733553,17.280241572558317,34.560483145116635,0.0945576977269827
jetson_jetson_test_640x360_throughput_software_native,5,96989184,77225984,73722880,1896.0554170424152,0.0,0.0,7.171365145011781
jetson_jetson_test_1280x720_throughput_nvdec_native,0,82739200,63131648,59227136,1000.2961615111749,0.0,0.0,13.642240452601117
