case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,0,12.159025,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,0,12.183217,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,1,12.21749,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,1,12.242419,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,2,12.240786,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,2,12.270451,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,3,12.175441,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,3,12.19813,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,4,10.960547,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,4,10.986052,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,5,9.80479,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,5,9.842678,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,6,8.363204,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,6,8.391428,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,7,8.125441,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,7,8.153761,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,8,7.684252,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,8,7.709628,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,9,8.295363,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,9,8.319363,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,10,8.54391,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,10,8.569542,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,11,7.959231,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,11,7.985343,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,12,6.744049,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,12,6.767313,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,13,6.987603,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,13,7.013171,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,14,6.968787,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,14,6.991924,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,15,7.18543,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,15,7.208758,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,16,7.3446,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,16,7.37036,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,17,7.509786,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,17,7.53497,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,18,7.781501,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,18,7.806877,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,19,8.376548,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,19,8.403876,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,20,9.650515,40.0,
