case,input_source,rounds,frames,frame_duration_ms,lookahead_ms,payload_mean_kbps,lossless,encode_ms_mean,encode_ms_p50,encode_ms_p95,encode_ms_p99,encode_ms_max,decode_ms_mean,decode_ms_p50,decode_ms_p95,decode_ms_p99,decode_ms_max,roundtrip_service_ms_mean,roundtrip_service_ms_p50,roundtrip_service_ms_p95,roundtrip_service_ms_p99,roundtrip_service_ms_max,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_p99,payload_bytes_max
opus_mono_16k_16k_20ms,speech_like,3,900,20.0,6.5,16.0,False,0.36289867555555555,0.35762,0.5061243999999999,0.573383,0.652072,0.03321948444444445,0.0324805,0.03865925,0.06092928,0.084705,0.39611816,0.39114099999999996,0.54113815,0.61906815,0.736777,40.0,40.0,40.0,40.0,40.0
opus_mono_16k_16k_20ms,noise,3,900,20.0,6.5,16.0,False,0.34471353444444447,0.34306000000000003,0.4556955499999999,0.48270132,0.50679,0.031540248888888886,0.029856,0.03501219999999999,0.03954083999999998,0.35722,0.3762537833333333,0.373413,0.49381239999999993,0.51604697,0.702856,40.0,40.0,40.0,40.0,40.0
opus_mono_16k_24k_20ms,speech_like,3,900,20.0,6.5,24.0,False,0.38336837,0.3742125,0.5271004,0.60551548,0.67604,0.03594558222222222,0.035488,0.0400976,0.054704349999999985,0.205762,0.41931395222222223,0.41059650000000003,0.5638198,0.6448918299999999,0.754313,60.0,60.0,60.0,60.0,60.0
opus_mono_16k_24k_20ms,noise,3,900,20.0,6.5,24.0,False,0.33412690444444443,0.34483600000000003,0.4895292,0.5062572,0.562726,0.033324849999999996,0.031872,0.035009599999999995,0.043396809999999994,0.407364,0.3674517544444445,0.3767565,0.5228476,0.54189464,0.693544,60.0,60.0,60.0,60.0,60.0
opus_mono_16k_32k_20ms,speech_like,3,900,20.0,6.5,32.0,False,0.4196294822222222,0.423653,0.5459606,0.61156956,0.815498,0.03797228777777778,0.037473,0.043489,0.05821346999999999,0.088065,0.45760176999999996,0.459781,0.58685405,0.65336765,0.900555,80.0,80.0,80.0,80.0,80.0
opus_mono_16k_32k_20ms,noise,3,900,20.0,6.5,32.0,False,0.3423378633333334,0.35694800000000004,0.46326099999999937,0.5145490500000001,0.573703,0.036087328888888895,0.034401,0.039714549999999994,0.04403328,0.366309,0.3784251922222222,0.391317,0.5105675999999992,0.55915164,0.658664,80.0,80.0,80.0,80.0,80.0
flac_1ch_48k24_20ms,speech_like,3,900,20.0,0,934.576,True,0.16871321444444448,0.166242,0.17760685,0.19592299999999999,0.565062,0.06869367222222222,0.0681765,0.07478660000000001,0.08509348,0.164802,0.23740688666666668,0.234115,0.2514782,0.28088459999999993,0.640359,2336.44,2347.0,2361.0,2364.0,2370.0
flac_1ch_48k24_20ms,noise,3,900,20.0,0,1098.8373333333332,True,0.16641343666666664,0.164866,0.1742132,0.18772967999999998,0.26506,0.06650452333333334,0.0641765,0.0705962,0.08321603999999998,0.437413,0.23291795999999998,0.229186,0.24648139999999993,0.28980752,0.600295,2747.0933333333332,2747.0,2755.0,2760.0,2760.0
flac_1ch_48k24_100ms,speech_like,3,900,100.0,0,898.3456,True,0.36994213333333337,0.367316,0.3906706,0.42379891999999997,0.800553,0.13855341000000002,0.140193,0.14992999999999998,0.17214919999999997,0.273027,0.5084955433333334,0.508374,0.541902,0.58382108,0.953003,11229.32,11284.0,11317.0,11321.0,11327.0
flac_1ch_48k24_100ms,noise,3,900,100.0,0,1068.0698666666667,True,0.3635955277777778,0.360772,0.3849026,0.40870996,0.484326,0.12562544444444446,0.12237,0.13136679999999998,0.17572553,0.52215,0.4892209722222222,0.483734,0.51680765,0.55515708,0.89057,13350.873333333333,13352.0,13368.0,13375.0,13380.0
flac_8ch_48k24_20ms,speech_like,3,900,20.0,0,7208.157333333333,True,0.5045637377777777,0.49976600000000004,0.5291980500000001,0.55548056,0.912395,0.17847733333333332,0.17837,0.1959406,0.22334124,0.31578,0.6830410711111111,0.682616,0.71866975,0.75324708,1.096749,18020.393333333333,18077.5,18208.0,18222.0,18224.0
flac_8ch_48k24_20ms,noise,3,900,20.0,0,8520.397333333334,True,0.4961299111111111,0.493094,0.5193301499999999,0.54254552,0.561478,0.15518586888888888,0.1515695,0.1664996,0.1892807199999999,0.554535,0.6513157799999999,0.644999,0.6811792,0.7176237200000001,1.048109,21300.993333333332,21302.0,21321.0,21332.0,21332.0
flac_8ch_48k24_100ms,speech_like,3,900,100.0,0,7128.5525333333335,True,1.9611798277777779,1.9789515,2.0200896,2.04508864,4.056048,0.6391804811111111,0.6637839999999999,0.7064201499999999,0.7322192399999999,1.375664,2.600360308888889,2.6486075,2.696808,2.76724516,5.431712,89106.90666666666,89553.0,89791.0,89804.0,89813.0
flac_8ch_48k24_100ms,noise,3,900,100.0,0,8485.48,True,1.9074918666666665,1.907446,1.9343622,1.94220892,1.994519,0.5270667322222222,0.5220865,0.54825175,0.5602037699999999,1.018188,2.4345585988888887,2.434556,2.4614386,2.5213368800000002,2.949314,106068.5,106068.5,106119.0,106128.0,106129.0
