scenario,audio_profile,people,audio_streams,beams_per_person,cameras,payload_mbps,modeled_ipv4_mbps,recommended_link_mbps,reserve_factor,model_basis,video_profile
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,1,1,1,0,0.016,0.0384,0.047999999999999994,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,2,2,1,0,0.032,0.0768,0.09599999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,3,3,1,0,0.048,0.1152,0.144,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,4,4,1,0,0.064,0.1536,0.19199999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,8,8,1,0,0.128,0.3072,0.38399999999999995,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,16,16,1,0,0.256,0.6144,0.7679999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,32,32,1,0,0.512,1.2288,1.5359999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/speech_like,64,64,1,0,1.024,2.4576,3.0719999999999996,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_shared_camera,opus_mono_16k_16k_20ms/speech_like,1,1,1,1,3.8666879999999995,4.094509333333333,5.314733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/speech_like,2,2,1,1,3.8826879999999995,4.132909333333333,5.362733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/speech_like,3,3,1,1,3.8986879999999995,4.171309333333332,5.410733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/speech_like,4,4,1,1,3.9146879999999995,4.209709333333333,5.458733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/speech_like,8,8,1,1,3.9786879999999996,4.363309333333333,5.6507332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
