scenario,audio_profile,people,audio_streams,cameras,link_mbps,one_way_ms_assumed,playout_ms_assumed,offered_load_fraction,mean_rate_below_link,network_p50_ms,network_p95_ms,network_max_ms,max_queue_wait_ms,network_deadline_ms,late_frames,frames,source_end_backlog_ms
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,1,25,20,0.0464,True,45.92800000000004,45.92800000000004,45.92800000000004,0.0,100,0,250,1.2289000000000883
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,5,25,20,0.00928,True,45.18560000000001,45.18560000000001,45.18560000000001,0.0,100,0,250,0.48650000000005633
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,10,25,20,0.00464,True,45.092800000000004,45.092800000000004,45.092800000000004,0.0,100,0,250,0.39370000000005234
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,20,25,20,0.00232,True,45.046400000000006,45.046400000000006,45.046400000000006,0.0,100,0,250,0.34729999999960626
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,50,25,20,0.0009279999999999999,True,45.01856,45.01856,45.01856,0.0,100,0,250,0.31946000000004915
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,100,25,20,0.00046399999999999995,True,45.009280000000004,45.009280000000004,45.009280000000004,0.0,100,0,250,0.31017999999960466
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,0,1000,25,20,4.6399999999999996e-05,True,45.00092799999996,45.0009280000004,45.0009280000004,0.0,100,0,250,0.30182800000044807
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,0,1,25,20,0.0928,True,46.392,46.85600000000008,46.85600000000008,0.9280000000000399,100,0,500,2.156900000000128
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,0,5,25,20,0.01856,True,45.2784,45.371200000000016,45.371200000000016,0.18560000000000798,100,0,500,0.6721000000000643
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,0,10,25,20,0.00928,True,45.1392,45.18560000000001,45.18560000000001,0.09280000000000399,100,0,500,0.48650000000005633
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,0,20,25,20,0.00464,True,45.06959999999956,45.092800000000004,45.092800000000004,0.046400000000001995,100,0,500,0.39369999999916416
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,0,50,25,20,0.0018559999999999998,True,45.02784,45.03712,45.03712,0.018560000000000798,100,0,500,0.33802000000004995
