frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,13350,0.372933,0.125921,0.498854
1,13356,0.368644,0.126466,0.49511
2,13352,0.371076,0.125154,0.49623
3,13356,0.373445,0.124321,0.497766
4,13338,0.367845,0.123617,0.491462
5,13342,0.36634,0.123521,0.489861
6,13339,0.389636,0.127138,0.516774
7,13356,0.377093,0.125569,0.502662
8,13343,0.367173,0.123713,0.490886
9,13353,0.385796,0.123138,0.508934
10,13350,0.361476,0.12461,0.486086
11,13338,0.364772,0.121154,0.485926
12,13358,0.371108,0.124002,0.49511
13,13359,0.375141,0.124065,0.499206
14,13352,0.385093,0.125953,0.511046
15,13358,0.371396,0.123298,0.494694
16,13347,0.364804,0.121826,0.48663
17,13359,0.369188,0.122786,0.491974
18,13348,0.356996,0.501638,0.858634
19,13353,0.373764,0.128578,0.502342
20,13361,0.365444,0.126178,0.491622
21,13343,0.374373,0.128001,0.502374
22,13363,0.366565,0.124321,0.490886
23,13356,0.379748,0.123554,0.503302
24,13360,0.365892,0.123042,0.488934
25,13339,0.365028,0.123298,0.488326
26,13357,0.363396,0.122818,0.486214
27,13356,0.365316,0.122658,0.487974
28,13363,0.384901,0.126561,0.511462
29,13363,0.364452,0.122337,0.486789
30,13380,0.366084,0.123073,0.489157
31,13340,0.36362,0.122529,0.486149
32,13352,0.367556,0.122306,0.489862
33,13362,0.361508,0.125602,0.48711
34,13346,0.358788,0.12141,0.480198
35,13349,0.362212,0.122754,0.484966
36,13356,0.379652,0.12349,0.503142
37,13375,0.374981,0.122401,0.497382
38,13317,0.358949,0.122273,0.481222
39,13346,0.368325,0.121697,0.490022
40,13353,0.36842,0.121921,0.490341
41,13357,0.36314,0.121505,0.484645
42,13343,0.371364,0.124546,0.49591
43,13342,0.368484,0.12173,0.490214
44,13341,0.415173,0.126529,0.541702
45,13352,0.368004,0.122626,0.49063
46,13354,0.367428,0.122306,0.489734
47,13347,0.372548,0.122754,0.495302
48,13356,0.366628,0.120834,0.487462
49,13344,0.359812,0.121666,0.481478
50,13356,0.360868,0.12221,0.483078
51,13321,0.381989,0.125473,0.507462
52,13370,0.387141,0.123649,0.51079
53,13354,0.36554,0.12157,0.48711
54,13348,0.36794,0.122018,0.489958
55,13348,0.36186,0.120386,0.482246
56,13363,0.35738,0.12221,0.47959
57,13360,0.362628,0.12589,0.488518
58,13358,0.363428,0.120994,0.484422
59,13354,0.381733,0.124769,0.506502
60,13348,0.367717,0.122017,0.489734
61,13361,0.36794,0.122945,0.490885
62,13347,0.357892,0.126561,0.484453
63,13347,0.364484,0.121601,0.486085
64,13343,0.363876,0.120513,0.484389
65,13353,0.358852,0.120961,0.479813
66,13354,0.376388,0.119682,0.49607
67,13341,0.384804,0.126018,0.510822
68,13357,0.364741,0.121761,0.486502
69,13337,0.366565,0.121761,0.488326
70,13348,0.363973,0.121345,0.485318
71,13347,0.360837,0.121665,0.482502
72,13353,0.368933,0.121825,0.490758
73,13343,0.368676,0.123361,0.492037
74,13337,0.356964,0.137921,0.494885
75,13342,0.367524,0.122242,0.489766
76,13348,0.35706,0.120514,0.477574
77,13343,0.36298,0.120738,0.483718
78,13345,0.359012,0.121442,0.480454
79,13353,0.362436,0.120994,0.48343
80,13359,0.382692,0.120962,0.503654
81,13344,0.359044,0.121122,0.480166
82,13344,0.404453,0.130913,0.535366
83,13372,0.357444,0.122625,0.480069
84,13343,0.360004,0.121281,0.481285
85,13334,0.35642,0.126241,0.482661
86,13357,0.364932,0.122274,0.487206
87,13336,0.367524,0.12125,0.488774
88,13356,0.361284,0.127522,0.488806
89,13345,0.374052,0.120962,0.495014
90,13359,0.380069,0.124801,0.50487
91,13339,0.358565,0.121217,0.479782
92,13343,0.366213,0.120833,0.487046
93,13339,0.372453,0.120801,0.493254
94,13353,0.365796,0.122945,0.488741
95,13357,0.35642,0.120001,0.476421
96,13361,0.363812,0.119969,0.483781
97,13342,0.358596,0.120417,0.479013
98,13359,0.37258,0.124641,0.497221
99,13361,0.360676,0.120642,0.481318
100,13337,0.369412,0.120706,0.490118
101,13359,0.359332,0.120578,0.47991
102,13344,0.360004,0.12013,0.480134
103,13357,0.365604,0.120514,0.486118
104,13358,0.402405,0.137665,0.54007
105,13362,0.3617,0.13981,0.50151
106,13354,0.365156,0.122626,0.487782
107,13348,0.364516,0.121442,0.485958
108,13334,0.35898,0.14205,0.50103
109,13363,0.363365,0.120225,0.48359
110,13357,0.35594,0.121186,0.477126
111,13354,0.371397,0.121345,0.492742
112,13344,0.361541,0.119905,0.481446
113,13347,0.428933,0.130786,0.559719
114,13352,0.359109,0.121729,0.480838
115,13357,0.375717,0.123073,0.49879
116,13344,0.373284,0.121473,0.494757
117,13360,0.355492,0.120993,0.476485
118,13369,0.363684,0.121473,0.485157
119,13345,0.370532,0.124929,0.495461
120,13368,0.360516,0.121505,0.482021
121,13342,0.378404,0.126914,0.505318
122,13352,0.362052,0.12141,0.483462
123,13375,0.367332,0.121954,0.489286
124,13364,0.373413,0.121601,0.495014
125,13341,0.363045,0.121697,0.484742
126,13363,0.359205,0.120801,0.480006
127,13348,0.360741,0.120481,0.481222
128,13338,0.360997,0.135393,0.49639
129,13349,0.361604,0.123169,0.484773
130,13345,0.359524,0.122849,0.482373
131,13337,0.3649,0.126017,0.490917
132,13355,0.3649,0.120673,0.485573
133,13346,0.360548,0.123106,0.483654
134,13330,0.358052,0.119681,0.477733
135,13338,0.37818,0.121506,0.499686
136,13347,0.423781,0.13133,0.555111
137,13348,0.364068,0.123234,0.487302
138,13349,0.375076,0.122882,0.497958
139,13368,0.375429,0.122785,0.498214
140,13367,0.352068,0.121538,0.473606
141,13364,0.353284,0.121826,0.47511
142,13353,0.35674,0.12109,0.47783
143,13345,0.354148,0.12061,0.474758
144,13353,0.372772,0.122658,0.49543
145,13348,0.369509,0.121825,0.491334
146,13348,0.361189,0.121569,0.482758
147,13342,0.352709,0.120385,0.473094
148,13348,0.355108,0.120834,0.475942
149,13353,0.36378,0.12029,0.48407
150,13350,0.366245,0.125313,0.491558
151,13356,0.352996,0.118434,0.47143
152,13352,0.411717,0.130722,0.542439
153,13356,0.37002,0.12285,0.49287
154,13338,0.360996,0.127298,0.488294
155,13342,0.361188,0.12173,0.482918
156,13339,0.35546,0.122914,0.478374
157,13356,0.365668,0.12317,0.488838
158,13343,0.361604,0.122146,0.48375
159,13353,0.365572,0.14525,0.510822
160,13350,0.364196,0.124033,0.488229
161,13338,0.362468,0.121249,0.483717
162,13358,0.365668,0.122529,0.488197
163,13359,0.358948,0.122209,0.481157
164,13352,0.357476,0.120385,0.477861
165,13358,0.364324,0.120385,0.484709
166,13347,0.360516,0.125985,0.486501
167,13359,0.37658,0.127906,0.504486
168,13348,0.359972,0.123074,0.483046
169,13353,0.355652,0.247427,0.603079
170,13361,0.359941,0.123233,0.483174
171,13343,0.356645,0.121313,0.477958
172,13363,0.356261,0.122785,0.479046
173,13356,0.357637,0.120737,0.478374
174,13360,0.359941,0.130049,0.48999
175,13339,0.380965,0.128385,0.50935
176,13357,0.356644,0.122305,0.478949
177,13356,0.358116,0.120769,0.478885
178,13363,0.3569,0.121857,0.478757
179,13363,0.35786,0.121601,0.479461
180,13380,0.357764,0.121473,0.479237
181,13340,0.35466,0.122081,0.476741
182,13352,0.357796,0.120161,0.477957
183,13362,0.36986,0.128066,0.497926
184,13346,0.354884,0.122754,0.477638
185,13349,0.356516,0.122882,0.479398
186,13356,0.35738,0.121602,0.478982
187,13375,0.355012,0.120994,0.476006
188,13317,0.357572,0.120834,0.478406
189,13346,0.355524,0.121249,0.476773
190,13353,0.354596,0.144482,0.499078
191,13357,0.367908,0.122658,0.490566
192,13343,0.352516,0.12205,0.474566
193,13342,0.3601,0.124354,0.484454
194,13341,0.352484,0.121442,0.473926
195,13352,0.3569,0.120098,0.476998
196,13354,0.352644,0.121602,0.474246
197,13347,0.355236,0.123713,0.478949
198,13356,0.39114,0.124482,0.515622
199,13344,0.35674,0.121026,0.477766
200,13356,0.354788,0.121698,0.476486
201,13321,0.358276,0.121698,0.479974
202,13370,0.355652,0.121378,0.47703
203,13354,0.356772,0.12077,0.477542
204,13348,0.356004,0.121378,0.477382
205,13348,0.355108,0.122402,0.47751
206,13363,0.379844,0.124898,0.504742
207,13360,0.359428,0.121602,0.48103
208,13358,0.357284,0.122402,0.479686
209,13354,0.354916,0.124258,0.479174
210,13348,0.354564,0.120962,0.475526
211,13361,0.355364,0.120994,0.476358
212,13347,0.3561,0.121922,0.478022
213,13347,0.3641,0.121442,0.485542
214,13343,0.387556,0.124802,0.512358
215,13353,0.356164,0.121858,0.478022
216,13354,0.361636,0.121154,0.48279
217,13341,0.355108,0.121986,0.477094
218,13357,0.351524,0.120034,0.471558
219,13337,0.361028,0.121826,0.482854
220,13348,0.354308,0.120386,0.474694
221,13347,0.35194,0.120322,0.472262
222,13353,0.407685,0.127265,0.53495
223,13343,0.358533,0.123361,0.481894
224,13337,0.351621,0.121217,0.472838
225,13342,0.354149,0.121505,0.475654
226,13348,0.354852,0.119522,0.474374
227,13343,0.357508,0.120514,0.478022
228,13345,0.35306,0.120514,0.473574
229,13353,0.351268,0.120738,0.472006
230,13359,0.377412,0.12285,0.500262
231,13344,0.356484,0.120994,0.477478
232,13344,0.351556,0.120226,0.471782
233,13372,0.35562,0.120514,0.476134
234,13343,0.35546,0.120289,0.475749
235,13334,0.348772,0.120321,0.469093
236,13357,0.350596,0.121953,0.472549
237,13336,0.352933,0.121665,0.474598
238,13356,0.362052,0.125217,0.487269
239,13345,0.362436,0.121218,0.483654
240,13359,0.352836,0.121985,0.474821
241,13339,0.353636,0.122817,0.476453
242,13343,0.351396,0.121249,0.472645
243,13339,0.356452,0.120833,0.477285
244,13353,0.352101,0.122049,0.47415
