frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,89526,1.976248,0.666888,2.643136
1,89721,1.994007,0.661704,2.655711
2,89582,1.999959,0.675688,2.675647
3,87454,1.84351,0.501606,2.345116
4,87364,1.85327,0.510662,2.363932
5,87356,1.847862,0.52087,2.368732
6,87401,1.840981,0.50087,2.341851
7,89317,1.942647,0.693864,2.636511
8,89794,1.970647,0.672072,2.642719
9,89385,1.948567,0.686984,2.635551
10,89763,2.002648,0.654408,2.657056
11,89345,1.979191,0.696104,2.675295
12,89794,1.992183,0.656936,2.649119
13,89564,2.026712,0.68244,2.709152
14,89653,1.986904,0.677736,2.66464
15,89569,2.4343,0.684616,3.118916
16,89556,2.011064,0.669896,2.68096
17,89703,2.020887,0.66692,2.687807
18,89390,1.927607,0.700488,2.628095
19,89782,2.018392,0.654183,2.672575
20,87626,1.879286,0.511302,2.390588
21,87403,1.833558,0.501862,2.33542
22,87367,1.872598,0.50183,2.374428
23,87321,1.850518,0.50823,2.358748
24,89544,1.981751,0.667816,2.649567
25,89754,2.011191,0.658824,2.670015
26,89555,2.008216,0.667399,2.675615
27,89686,1.99516,0.662568,2.657728
28,89633,1.998104,0.667976,2.66608
29,89499,2.021304,0.674632,2.695936
30,89736,1.964407,0.656744,2.621151
31,89366,1.929078,0.693513,2.622591
32,89771,1.991832,0.658824,2.650656
33,89209,1.916215,0.693416,2.609631
34,89795,1.996631,0.661576,2.658207
35,89323,2.002231,0.679624,2.681855
36,89768,1.967415,0.656904,2.624319
37,87664,1.874806,0.535046,2.409852
38,87377,1.881206,0.504294,2.3855
39,87382,1.84639,0.502118,2.348508
40,87331,1.883639,0.502822,2.386461
41,89704,1.987736,0.68196,2.669696
42,89448,1.982007,0.666856,2.648863
43,89757,2.003544,0.6546,2.658144
44,89383,1.913046,0.71396,2.627006
45,89768,1.98252,0.654663,2.637183
46,89245,1.940983,0.697096,2.638079
47,89790,1.967863,0.676584,2.644447
