frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
0,400000000,568622939855258,568622955930231,0.226155,15.962844,16.074973,9162,9301,12,1200,568622956866338,17.01108,17.237235
1,440000000,568622979805968,568623002100631,0.166626,22.232006,22.294663,9174,9313,12,1200,568623003827979,24.022011,24.188637
2,480000000,568623019790024,568623042189231,0.149593,22.333895,22.399207,9371,9510,12,1200,568623044250664,24.46064,24.610233
3,520000000,568623059849471,568623083574167,0.243953,23.610134,23.724696,9285,9424,12,1200,568623084551074,24.701603,24.945556
4,560000000,568623099783670,568623119179482,0.140039,19.336035,19.395812,9220,9359,12,1200,568623120112389,20.328719,20.468758
5,600000000,568623139806349,568623158826990,0.165823,18.960032,19.020641,9321,9460,12,1200,568623160481985,20.675636,20.841459
6,640000000,568623179788357,568623198879045,0.149206,19.028576,19.090688,9206,9345,12,1200,568623200453816,20.665459,20.814664999999998
7,680000000,568623219789564,568623242203236,0.147981,22.352136,22.413672,9245,9384,12,1200,568623244216988,24.427424,24.575405
8,720000000,568623259876948,568623284206099,0.26695,24.207262,24.329151,9248,9387,12,1200,568623285160990,25.284042,25.550992
9,760000000,568623299800906,568623320347868,0.167996,20.470897,20.546962,9218,9357,12,1200,568623321283048,21.482142,21.650138
10,800000000,568623339826594,568623356923435,0.187507,17.030248,17.096841,9258,9397,12,1200,568623359085093,19.258499,19.446006
11,840000000,568623379789561,568623397678700,0.158954,17.818834,17.889139,12577,12758,15,1200,568623398684247,18.894686,19.05364
12,880000000,568623419808048,568623443989805,0.17677,24.1063,24.181757,12750,12931,15,1200,568623445046394,25.238346,25.415116
13,920000000,568623459807912,568623483533663,0.169433,23.654647,23.725751,12934,13115,15,1200,568623485409781,25.601869,25.771302000000002
14,960000000,568623499782783,568623517749234,0.142896,17.901747,17.966451,9655,9794,12,1200,568623518679773,18.89699,19.039886
15,1000000000,568623539809174,568623574642128,0.170887,34.766841,34.832954,36831,37297,36,1200,568623576578151,36.768977,36.939864
16,1040000000,568623589429919,568623608067898,9.792784,18.569659,18.637979,16364,16587,18,1200,568623609694445,20.264526,30.05731
17,1080000000,568623623111627,568623638074076,3.473341,14.897424,14.962449,11836,12003,14,1200,568623638926630,15.815003,19.288344000000002
18,1120000000,568623659782684,568623675140976,0.144013,15.296244,15.358292,11665,11832,14,1200,568623676132988,16.350304,16.494317000000002
19,1160000000,568623699795827,568623718398862,0.15818,18.535258,18.603035,11626,11793,14,1200,568623719360217,19.56439,19.72257
20,1200000000,568623739811498,568623756262412,0.171676,16.383937,16.450914,7823,7948,11,1200,568623757902912,18.091414,18.263090000000002
21,1240000000,568623779838018,568623799580715,0.25746,19.569159,19.742697,8119,8244,11,1200,568623800585270,20.747252,21.004711999999998
22,1280000000,568623819836025,568623837631819,0.208427,17.710577,17.795794,8146,8271,11,1200,568623838709752,18.873727,19.082154
23,1320000000,568623859804272,568623878645582,0.161889,18.777661,18.84131,8078,8203,11,1200,568623880954313,21.150041,21.31193
24,1360000000,568623899875144,568623918473251,0.232185,18.526362,18.598107,6107,6204,9,1200,568623920548060,20.672916,20.905101000000002
25,1400000000,568623939806399,568623959124482,0.17784,19.238466,19.318083,6492,6603,10,1200,568623960719957,20.913558,21.091397999999998
26,1440000000,568623979815766,568624000207206,0.219624,20.280111,20.39144,6106,6203,9,1200,568624002642979,22.827213,23.046837
27,1480000000,568624019845550,568624043612806,0.249471,23.615351,23.767256,6400,6497,9,1200,568624045245913,25.400363,25.649834
28,1520000000,568624059785540,568624074832661,0.15567,14.970832,15.047121,5761,5858,9,1200,568624075838337,16.052797,16.208467000000002
29,1560000000,568624099801948,568624114313799,0.174765,14.430442,14.511851,5535,5632,9,1200,568624115200401,15.398453,15.573218
30,1600000000,568624139796211,568624156785627,0.165188,16.920551,16.989416,5379,5476,9,1200,568624158147851,18.35164,18.516828
31,1640000000,568624179811018,568624196605104,0.17398,16.725893,16.794086,5297,5394,9,1200,568624197521595,17.710577,17.884557
32,1680000000,568624219849282,568624238194458,0.220915,18.258583,18.345176,5357,5454,9,1200,568624239904078,20.054796,20.275711
33,1720000000,568624259801433,568624277885966,0.187306,17.992276,18.084533,5248,5331,8,1200,568624278769720,18.968287,19.155593
34,1760000000,568624299792336,568624322272057,0.165249,22.400968,22.479721,7739,7864,11,1200,568624324120238,24.327902,24.493151
35,1800000000,568624339846568,568624363687841,0.25097,23.70668,23.841273,8470,8595,11,1200,568624364692844,24.846276,25.097246
36,1840000000,568624379788638,568624398775614,0.15304,18.917759,18.986976,8613,8738,11,1200,568624399731081,19.942443,20.095483
37,1880000000,568624419792630,568624439538878,0.154439,19.682888,19.746248,8859,8998,12,1200,568624441182962,21.390332,21.544771
38,1920000000,568624459784621,568624477322139,0.143966,17.474733,17.537518,8989,9128,12,1200,568624479148241,19.36362,19.507586
39,1960000000,568624499826885,568624519946866,0.191926,20.051181,20.119981,8818,8943,11,1200,568624520973598,21.146713,21.338638999999997
40,2000000000,568624539827772,568624581386885,0.186221,41.4914,41.559113,38943,39437,38,1200,568624583812578,43.984806,44.171027
41,2040000000,568624597686085,568624619592328,18.094167,21.738625,21.906243,17287,17524,19,1200,568624620949112,23.263027,41.357194
42,2080000000,568624638797898,568624663473357,19.190748,24.556674,24.675459,16522,16745,18,1200,568624664532601,25.734703,44.925450999999995
43,2120000000,568624676230019,568624712093001,16.650869,35.695652,35.862982,16580,16803,18,1200,568624713938911,37.708892,54.359761
44,2160000000,568624730603139,568624756958298,31.012693,26.210357,26.355159,16136,16359,18,1200,568624758897937,28.294798,59.307491
45,2200000000,568624774120548,568624797723866,34.509878,23.482004,23.603318,11651,11818,14,1200,568624799771634,25.651086,60.160964
46,2240000000,568624813017614,568624831501576,33.375616,18.419321,18.483962,11543,11710,14,1200,568624832450867,19.433253,52.808869
47,2280000000,568624846402136,568624861451849,26.777129,14.952784,15.049713,7789,7914,11,1200,568624862197650,15.795514,42.572643
48,2320000000,568624873383702,568624889319441,13.752199,15.857466,15.935739,8137,8262,11,1200,568624890116315,16.732613,30.484811999999998
49,2360000000,568624900951834,568624917040344,1.311916,16.029693,16.08851,8229,8354,11,1200,568624917899138,16.947304,18.25922
50,2400000000,568624939788708,568624954952887,0.152597,15.099026,15.164179,8260,8385,11,1200,568624955856897,16.068189,16.220786
51,2440000000,568624979801723,568624995523893,0.160109,15.661337,15.72217,6443,6554,10,1200,568624997099911,17.298188,17.458296999999998
52,2480000000,568625019794803,568625036807451,0.152004,16.950888,17.012648,6673,6784,10,1200,568625038108554,18.313751,18.465755
53,2520000000,568625059794890,568625076871507,0.151579,17.015144,17.076617,6857,6968,10,1200,568625078335780,18.54089,18.692469000000003
54,2560000000,568625099805697,568625117058637,0.167251,17.189771,17.25294,6076,6173,9,1200,568625118378620,18.572923,18.740174
55,2600000000,568625139785944,568625157402760,0.145674,17.556943,17.616816,6107,6204,9,1200,568625159013691,19.227747,19.373421
56,2640000000,568625179887537,568625198796464,0.265154,18.812254,18.908927,5522,5619,9,1200,568625200595301,20.707764,20.972918
57,2680000000,568625219867272,568625234081231,0.246137,14.113478,14.213959,5581,5678,9,1200,568625234860120,14.992848,15.238985
58,2720000000,568625259830751,568625280270575,0.193776,20.369872,20.439824,5482,5579,9,1200,568625281701440,21.870689,22.064465
59,2760000000,568625299841814,568625316628860,0.204999,16.708901,16.787046,5195,5278,8,1200,568625318214990,18.373176,18.578175
60,2800000000,568625339799341,568625360397471,0.164798,20.524625,20.59813,5313,5410,9,1200,568625361528717,21.729376,21.894174
61,2840000000,568625379817284,568625403005525,0.213334,23.063343,23.188241,5364,5461,9,1200,568625404656105,24.838821,25.052155
62,2880000000,568625419785019,568625443630228,0.141772,23.786328,23.845209,7764,7889,11,1200,568625445204935,25.419916,25.561688
63,2920000000,568625459787122,568625480505287,0.151204,20.652084,20.718165,8459,8584,11,1200,568625481940183,22.153061,22.304265
64,2960000000,568625499860363,568625519625171,0.25622,19.539046,19.764808,6192,6289,9,1200,568625520494846,20.634483,20.890703
65,3000000000,568625539799233,568625575653672,0.166579,35.782566,35.854439,35517,35969,35,1200,568625576934807,37.135574,37.302153
66,3040000000,568625589335881,568625608672493,9.708442,19.258019,19.336612,17172,17395,18,1200,568625609762553,20.426672,30.135114
67,3080000000,568625621854056,568625646542731,2.271034,24.515841,24.688675,16525,16748,18,1200,568625647500438,25.646382,27.917416
68,3120000000,568625659785479,568625677407958,0.14652,17.561423,17.622479,16159,16382,18,1200,568625678314497,18.529018,18.675538
69,3160000000,568625699793054,568625718664508,0.15688,18.809373,18.871454,16104,16327,18,1200,568625719597575,19.804521,19.961401000000002
70,3200000000,568625739796821,568625759764897,0.156007,19.905867,19.968076,16136,16359,18,1200,568625761348947,21.552126,21.708133
71,3240000000,568625779834125,568625800330175,0.211711,20.391441,20.49605,11724,11891,14,1200,568625801248169,21.414044,21.625755
72,3280000000,568625819787876,568625835733088,0.147605,15.883067,15.945212,7848,7973,11,1200,568625837309266,17.52139,17.668995
73,3320000000,568625859783643,568625876941381,0.142156,17.100457,17.157738,8100,8225,11,1200,568625878513944,18.730301,18.872457
74,3360000000,568625899793682,568625918082282,0.149956,18.232759,18.2886,8259,8384,11,1200,568625919866175,20.072493,20.222449
75,3400000000,568625939841162,568625957198327,0.273724,17.162026,17.357165,8103,8228,11,1200,568625959106797,19.265635,19.539359
76,3440000000,568625979796673,568625999549354,0.156754,19.686536,19.752681,6239,6336,9,1200,568626001044699,21.248026,21.40478
77,3480000000,568626019790936,568626039796196,0.148554,19.943723,20.00526,6184,6281,9,1200,568626041504440,21.713504,21.862058
78,3520000000,568626059877969,568626079635129,0.251586,19.666087,19.75716,6538,6649,10,1200,568626080511908,20.633939,20.885525
79,3560000000,568626099814119,568626122180783,0.17148,22.304583,22.366664,6059,6156,9,1200,568626123624128,23.810009,23.981489
80,3600000000,568626139856447,568626157205835,0.231984,17.256203,17.349388,5622,5719,9,1200,568626158672989,18.816542,19.048526
81,3640000000,568626179813110,568626194990120,0.177223,15.10421,15.17701,5126,5209,8,1200,568626196547707,16.734597,16.911820000000002
82,3680000000,568626219835949,568626241139304,0.201119,21.223418,21.303355,5037,5120,8,1200,568626242716027,22.880078,23.081197
83,3720000000,568626259806596,568626275884578,0.169045,16.010109,16.077982,5318,5415,9,1200,568626277410579,17.603983,17.773028
84,3760000000,568626299809755,568626315773719,0.170285,15.897787,15.963964,5253,5336,8,1200,568626317796495,17.98674,18.157025
85,3800000000,568626339897556,568626357063166,0.300294,17.016361,17.16561,5321,5418,9,1200,568626358903668,19.006112,19.306406000000003
86,3840000000,568626379813770,568626396833523,0.174203,16.953256,17.019753,5297,5380,8,1200,568626398163394,18.349624,18.523826999999997
87,3880000000,568626419844706,568626445911765,0.238899,25.949426,26.067059,7839,7964,11,1200,568626446962113,27.117407,27.356306
88,3920000000,568626463645190,568626483349070,4.033559,19.577063,19.70388,8316,8441,11,1200,568626484288281,20.643091,24.67665
89,3960000000,568626499922481,568626515016995,0.320899,14.932656,15.094514,6060,6157,9,1200,568626515826700,15.904219,16.225118
90,4000000000,568626539843847,568626569240610,0.206329,29.325274,29.396763,35462,35914,35,1200,568626570485392,30.641545,30.847874
91,4040000000,568626583245031,568626607134048,3.641465,23.745656,23.889017,17282,17519,19,1200,568626608064587,24.819556,28.461021
92,4080000000,568626619759413,568626637435333,0.114534,17.614095,17.67592,16222,16445,18,1200,568626638341168,18.581755,18.696289
93,4120000000,568626659822541,568626677837025,0.187998,17.945139,18.014484,16282,16505,18,1200,568626678731276,18.908735,19.096733
94,4160000000,568626699828132,568626717153872,0.186134,17.262347,17.32574,16199,16422,18,1200,568626718060123,18.231991,18.418125
95,4200000000,568626739809915,568626772445820,0.167565,32.569984,32.635905,16155,16378,18,1200,568626774053519,34.243604,34.411169
96,4240000000,568626788777020,568626810614046,9.176942,21.703424,21.837026,11858,12025,14,1200,568626811520136,22.743116,31.920058
97,4280000000,568626823967067,568626849153732,4.324396,25.093448,25.186665,11750,11917,14,1200,568626850754167,26.7871,31.111496
98,4320000000,568626863268074,568626882539437,3.631579,19.202466,19.271363,11558,11725,14,1200,568626884232833,20.964759,24.596338
99,4360000000,568626899882841,568626922356386,0.273739,22.328647,22.473545,7937,8062,11,1200,568626923652017,23.769176,24.042915
100,4400000000,568626939820112,568626957640898,0.179297,17.755281,17.820786,8207,8332,11,1200,568626959327254,19.507142,19.686439
101,4440000000,568626979822695,568626998429090,0.184313,18.539834,18.606395,8119,8244,11,1200,568626999804275,19.98158,20.165893
102,4480000000,568627019927424,568627045141673,0.312017,25.083816,25.214249,7981,8106,11,1200,568627046657211,26.729787,27.041804000000003
103,4520000000,568627060978659,568627079745664,1.364373,18.649531,18.767005,6274,6371,9,1200,568627080694060,19.715401,21.079774
104,4560000000,568627099820653,568627115512646,0.185054,15.624024,15.691993,6216,6313,9,1200,568627116971415,17.150762,17.335816
105,4600000000,568627139812932,568627156695371,0.169877,16.815654,16.882439,6083,6180,9,1200,568627158154268,18.341336,18.511212999999998
106,4640000000,568627179805915,568627203112558,0.168141,23.235858,23.306643,6074,6171,9,1200,568627204797218,24.991303,25.159443999999997
107,4680000000,568627220119414,568627244314963,0.51828,24.071675,24.195549,5327,5424,9,1200,568627245707748,25.588334,26.106614
108,4720000000,568627259815178,568627281103461,0.171867,21.22857,21.288283,5248,5345,9,1200,568627282592374,22.777196,22.949063
109,4760000000,568627299814689,568627315946879,0.173555,16.067485,16.13219,4925,5008,8,1200,568627317393264,17.578575,17.75213
110,4800000000,568627339803000,568627364130135,0.16161,24.265822,24.327135,7661,7786,11,1200,568627365067522,25.264522,25.426132
111,4840000000,568627380540440,568627406771758,0.92993,26.105332,26.231318,8406,8531,11,1200,568627407597175,27.056735,27.986665
112,4880000000,568627420754130,568627439619217,1.10858,18.808446,18.865087,5966,6063,9,1200,568627440742558,19.988428,21.097008
113,4920000000,568627459809534,568627484917222,0.168112,25.043751,25.107688,7738,7863,11,1200,568627486318583,26.509049,26.677161
114,4960000000,568627500601407,568627526621234,0.983249,25.903634,26.019827,8664,8789,11,1200,568627528211076,27.609669,28.592918
115,5000000000,568627541714979,568627576964419,2.070677,35.187807,35.24944,35337,35789,35,1200,568627579267774,37.552795,39.62347200000001
116,5040000000,568627592392888,568627614267226,12.752714,21.810209,21.874338,16265,16488,18,1200,568627616097776,23.704888,36.457602
117,5080000000,568627631149889,568627653810156,11.505042,22.601898,22.660267,16283,16506,18,1200,568627654856216,23.706327,35.211369000000005
118,5120000000,568627669086048,568627693751459,9.445361,24.600994,24.665411,16034,16257,18,1200,568627694654381,25.568333,35.013694
119,5160000000,568627707901577,568627730957529,8.303483,22.870797,23.055952,11685,11852,14,1200,568627732471499,24.569922,32.873405
120,5200000000,568627745751655,568627763995230,6.113529,18.174518,18.243575,11708,11875,14,1200,568627765550481,19.798826,25.912354999999998
