frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
0,400000000,568714875343053,568714915784202,0.175023,32.792195,40.441149,6410,6497,7,1200,568714916248527,40.905474,41.080497
1,440000000,568714915469478,568714949342709,0.30068,24.855845,33.873231,6013,6100,7,1200,568714949774459,34.304981,34.605661
2,480000000,568714955361884,568714982712351,0.193279,19.047265,27.350467,8564,8679,9,1200,568714983261189,27.899305,28.092584
3,520000000,568714995308692,568715036091413,0.131382,32.774563,40.782721,9123,9238,9,1200,568715036530554,41.221862,41.353244000000004
4,560000000,568715035331820,568715065576848,0.16267,22.223622,30.245028,9345,9460,9,1200,568715066089494,30.757674,30.920344
5,600000000,568715075319651,568715114319343,0.147653,30.957453,38.999692,9851,9980,10,1200,568715115001303,39.681652,39.829305
6,640000000,568715115325947,568715153545374,0.157309,29.687774,38.219427,9965,10094,10,1200,568715154043332,38.717385,38.874694
7,680000000,568715155292946,568715197334722,0.112116,34.373109,42.041776,10132,10261,10,1200,568715197785543,42.492597,42.604713000000004
8,720000000,568715195328938,568715223887227,0.157101,20.487441,28.558289,10015,10144,10,1200,568715224376801,29.047863,29.204964
9,760000000,568715235293410,568715276110595,0.114308,33.20148,40.817185,10127,10256,10,1200,568715276544296,41.250886,41.365194
10,800000000,568715275335770,568715317355529,0.165724,34.053073,42.019759,10015,10144,10,1200,568715317789967,42.454197,42.619921
11,840000000,568715315325745,568715355423370,0.154964,31.815703,40.097625,9938,10067,10,1200,568715356043378,40.717633,40.872597
12,880000000,568715355334569,568715390013602,0.163756,26.779196,34.679033,9658,9787,10,1200,568715390620681,35.286112,35.449868
13,920000000,568715395327169,568715431065478,0.152163,26.990942,35.738309,9678,9807,10,1200,568715431482763,36.155594,36.307757
14,960000000,568715435314296,568715477530154,0.141339,34.332949,42.215858,9672,9801,10,1200,568715478515030,43.200734,43.342073
15,1000000000,568715475344273,568715511402010,0.173811,27.60151,36.057737,22204,22489,22,1200,568715512108194,36.763921,36.937732000000004
16,1040000000,568715515306920,568715560206905,0.136554,37.053813,44.899985,11137,11280,11,1200,568715560668511,45.361591,45.498144999999994
17,1080000000,568715555321664,568715595581307,0.145666,32.121115,40.259643,10411,10540,10,1200,568715596137569,40.815905,40.961571
18,1120000000,568715595332536,568715629909199,0.157914,26.726395,34.576663,9912,10041,10,1200,568715630456470,35.123934,35.281848
19,1160000000,568715635320431,568715673712980,0.144113,30.944269,38.392549,9954,10083,10,1200,568715674367804,39.047373,39.191486
20,1200000000,568715675326919,568715717893277,0.153833,33.937296,42.566358,9754,9883,10,1200,568715718348098,43.021179,43.175011999999995
21,1240000000,568715715336831,568715758842176,0.159937,35.339745,43.505345,10009,10138,10,1200,568715759315301,43.97847,44.138407
22,1280000000,568715755321174,568715806967671,0.14252,43.961734,51.646497,9892,10021,10,1200,568715807522846,52.201672,52.344192
23,1320000000,568715795317774,568715842126134,0.139568,38.595623,46.80836,10064,10193,10,1200,568715842542171,47.224397,47.363965
24,1360000000,568715835323366,568715868462413,0.145192,24.939399,33.139047,9736,9865,10,1200,568715869124596,33.80123,33.946422
25,1400000000,568715875314877,568715910816128,0.139552,27.186369,35.501251,9696,9825,10,1200,568715911379143,36.064266,36.203818000000005
26,1440000000,568715915302837,568715949321638,0.126551,25.898609,34.018801,9723,9852,10,1200,568715949997550,34.694713,34.821264
27,1480000000,568715955317453,568715989631585,0.143631,25.712655,34.314132,9757,9886,10,1200,568715990111527,34.794074,34.937705
28,1520000000,568715995320613,568716042168045,0.146087,39.266639,46.847432,9626,9755,10,1200,568716042747092,47.426479,47.572566
29,1560000000,568716035363613,568716068230976,0.192863,24.474432,32.867363,9744,9873,10,1200,568716068811751,33.448138,33.641001
30,1600000000,568716075309492,568716107050890,0.13311,23.886425,31.741398,9776,9905,10,1200,568716107476975,32.167483,32.300593
31,1640000000,568716115315820,568716169668877,0.14059,46.248322,54.353057,9856,9985,10,1200,568716170239699,54.923879,55.064469
32,1680000000,568716155305699,568716201750343,0.13527,38.950379,46.444644,9763,9892,10,1200,568716202147276,46.841577,46.976847
33,1720000000,568716195303771,568716236476033,0.126941,32.758851,41.172262,9714,9843,10,1200,568716236907110,41.603339,41.73028
34,1760000000,568716235318515,568716271118425,0.144821,28.45752,35.79991,9667,9796,10,1200,568716271607391,36.288876,36.433697
35,1800000000,568716275387371,568716308443281,0.213038,24.716963,33.05591,9628,9757,10,1200,568716309024024,33.636653,33.849691
36,1840000000,568716315333410,568716347123097,0.162309,24.076668,31.789687,9681,9810,10,1200,568716347633727,32.300317,32.462626
