frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,80,0.364036,0.034401,0.398437
1,80,0.449029,0.035009,0.484038
2,80,0.293795,0.035713,0.329508
3,80,0.439525,0.03552,0.475045
4,80,0.366821,0.034112,0.400933
5,80,0.447461,0.035489,0.48295
6,80,0.308483,0.037665,0.346148
7,80,0.297251,0.035009,0.33226
8,80,0.368804,0.034241,0.403045
9,80,0.511942,0.03472,0.546662
10,80,0.370149,0.034688,0.404837
11,80,0.370852,0.035009,0.405861
12,80,0.290723,0.35418,0.644903
13,80,0.446277,0.036064,0.482341
14,80,0.296068,0.034976,0.331044
15,80,0.227491,0.037664,0.265155
16,80,0.44327,0.035808,0.479078
17,80,0.436229,0.035137,0.471366
18,80,0.290627,0.033792,0.324419
19,80,0.373157,0.03328,0.406437
20,80,0.359204,0.033537,0.392741
21,80,0.512454,0.033632,0.546086
22,80,0.435269,0.034145,0.469414
23,80,0.441029,0.03376,0.474789
24,80,0.292196,0.047424,0.33962
25,80,0.362405,0.03536,0.397765
26,80,0.296612,0.034016,0.330628
27,80,0.293028,0.034624,0.327652
28,80,0.368548,0.034433,0.402981
29,80,0.293955,0.033217,0.327172
30,80,0.422949,0.033632,0.456581
31,80,0.444229,0.033921,0.47815
32,80,0.289251,0.040257,0.329508
33,80,0.294307,0.035329,0.329636
34,80,0.441925,0.0352,0.477125
35,80,0.225987,0.037344,0.263331
36,80,0.215459,0.034048,0.249507
37,80,0.573703,0.034112,0.607815
38,80,0.285924,0.035072,0.320996
39,80,0.289988,0.033088,0.323076
40,80,0.370052,0.034401,0.404453
41,80,0.36234,0.039521,0.401861
42,80,0.439845,0.034368,0.474213
43,80,0.288676,0.033664,0.32234
44,80,0.343396,0.033217,0.376613
45,80,0.374212,0.038176,0.412388
46,80,0.432966,0.034784,0.46775
47,80,0.287075,0.033825,0.3209
48,80,0.492582,0.034432,0.527014
49,80,0.496838,0.034528,0.531366
50,80,0.357509,0.03904,0.396549
51,80,0.216995,0.034752,0.251747
52,80,0.285987,0.034081,0.320068
53,80,0.365924,0.033665,0.399589
54,80,0.36122,0.034176,0.395396
55,80,0.369189,0.044032,0.413221
56,80,0.500358,0.035712,0.53607
57,80,0.286595,0.034944,0.321539
58,80,0.353092,0.033281,0.386373
59,80,0.361156,0.033697,0.394853
60,80,0.354244,0.033152,0.387396
61,80,0.357252,0.034081,0.391333
62,80,0.287267,0.038945,0.326212
63,80,0.425829,0.034976,0.460805
64,80,0.288644,0.034912,0.323556
65,80,0.433413,0.040513,0.473926
66,80,0.289859,0.042912,0.332771
67,80,0.201058,0.03584,0.236898
68,80,0.508038,0.034177,0.542215
69,80,0.364484,0.0336,0.398084
70,80,0.282596,0.04016,0.322756
71,80,0.350884,0.034721,0.385605
72,80,0.19885,0.033345,0.232195
73,80,0.219394,0.034465,0.253859
74,80,0.430117,0.033568,0.463685
75,80,0.365988,0.033089,0.399077
76,80,0.360836,0.036545,0.397381
77,80,0.365732,0.035488,0.40122
78,80,0.419845,0.039009,0.458854
79,80,0.35002,0.03488,0.3849
80,80,0.361221,0.03408,0.395301
81,80,0.35946,0.039585,0.399045
82,80,0.365316,0.035392,0.400708
83,80,0.358565,0.038688,0.397253
84,80,0.362916,0.035873,0.398789
85,80,0.288803,0.034113,0.322916
86,80,0.373892,0.036513,0.410405
87,80,0.285635,0.035328,0.320963
88,80,0.295652,0.034432,0.330084
89,80,0.214211,0.033664,0.247875
90,80,0.358661,0.033376,0.392037
91,80,0.353956,0.032832,0.386788
92,80,0.282596,0.034368,0.316964
93,80,0.434565,0.034369,0.468934
94,80,0.291779,0.034817,0.326596
95,80,0.288259,0.032993,0.321252
96,80,0.368452,0.033984,0.402436
97,80,0.370885,0.040992,0.411877
98,80,0.221635,0.034752,0.256387
99,80,0.365637,0.03408,0.399717
100,80,0.280035,0.034945,0.31498
101,80,0.217506,0.038241,0.255747
102,80,0.359204,0.033824,0.393028
103,80,0.292868,0.033312,0.32618
104,80,0.270627,0.038593,0.30922
105,80,0.36074,0.034081,0.394821
106,80,0.210882,0.033889,0.244771
107,80,0.360804,0.033216,0.39402
108,80,0.283748,0.03184,0.315588
109,80,0.399173,0.038176,0.437349
110,80,0.362884,0.034817,0.397701
111,80,0.360516,0.033664,0.39418
112,80,0.200578,0.040704,0.241282
113,80,0.360293,0.034432,0.394725
114,80,0.291683,0.032929,0.324612
115,80,0.356196,0.03408,0.390276
116,80,0.288099,0.032896,0.320995
117,80,0.290724,0.03408,0.324804
118,80,0.426245,0.032801,0.459046
119,80,0.430757,0.033984,0.464741
120,80,0.30554,0.035616,0.341156
121,80,0.367973,0.035328,0.403301
122,80,0.291075,0.034945,0.32602
123,80,0.215362,0.032865,0.248227
124,80,0.215522,0.039041,0.254563
125,80,0.361284,0.040801,0.402085
126,80,0.364676,0.03456,0.399236
127,80,0.438502,0.035072,0.473574
128,80,0.364388,0.039713,0.404101
129,80,0.21277,0.035265,0.248035
130,80,0.293635,0.033409,0.327044
131,80,0.449765,0.035424,0.485189
132,80,0.204995,0.035904,0.240899
133,80,0.287364,0.033728,0.321092
134,80,0.36186,0.033409,0.395269
135,80,0.282979,0.033824,0.316803
136,80,0.282308,0.033472,0.31578
137,80,0.29178,0.032864,0.324644
138,80,0.284739,0.032513,0.317252
139,80,0.354596,0.033664,0.38826
140,80,0.289028,0.033792,0.32282
141,80,0.352964,0.033217,0.386181
142,80,0.359044,0.042849,0.401893
143,80,0.294851,0.039041,0.333892
144,80,0.289891,0.034272,0.324163
145,80,0.359205,0.033888,0.393093
146,80,0.288836,0.039424,0.32826
147,80,0.342916,0.041857,0.384773
148,80,0.365508,0.034464,0.399972
149,80,0.366885,0.033472,0.400357
150,80,0.430917,0.032801,0.463718
151,80,0.291523,0.032832,0.324355
152,80,0.359973,0.033024,0.392997
153,80,0.299684,0.036032,0.335716
154,80,0.434341,0.034945,0.469286
155,80,0.352516,0.0344,0.386916
156,80,0.361508,0.034561,0.396069
157,80,0.360772,0.03328,0.394052
158,80,0.362053,0.0328,0.394853
159,80,0.286948,0.038688,0.325636
160,80,0.290691,0.033441,0.324132
161,80,0.524902,0.035968,0.56087
162,80,0.271428,0.033888,0.305316
163,80,0.423109,0.036993,0.460102
164,80,0.214914,0.034465,0.249379
165,80,0.287747,0.03376,0.321507
166,80,0.436229,0.033185,0.469414
167,80,0.475877,0.033281,0.509158
168,80,0.287139,0.033569,0.320708
169,80,0.367396,0.032608,0.400004
170,80,0.426501,0.033025,0.459526
171,80,0.36106,0.033153,0.394213
172,80,0.265795,0.03456,0.300355
173,80,0.360868,0.047937,0.408805
174,80,0.290947,0.035713,0.32666
175,80,0.281475,0.034401,0.315876
176,80,0.437509,0.033216,0.470725
177,80,0.286948,0.034208,0.321156
178,80,0.357988,0.033377,0.391365
