frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,80,0.473254,0.040128,0.513382
1,80,0.387781,0.039617,0.427398
2,80,0.394852,0.041345,0.436197
3,80,0.464069,0.038113,0.502182
4,80,0.465477,0.038337,0.503814
5,80,0.537574,0.038337,0.575911
6,80,0.480517,0.043745,0.524262
7,80,0.454533,0.039521,0.494054
8,80,0.462501,0.038753,0.501254
9,80,0.812201,0.087585,0.899786
10,80,0.289892,0.039264,0.329156
11,80,0.368964,0.036353,0.405317
12,80,0.279043,0.034913,0.313956
13,80,0.487205,0.034337,0.521542
14,80,0.550694,0.039553,0.590247
15,80,0.462853,0.038113,0.500966
16,80,0.533766,0.037728,0.571494
17,80,0.456325,0.037536,0.493861
18,80,0.376965,0.03856,0.415525
19,80,0.463334,0.037664,0.500998
20,80,0.305668,0.03808,0.343748
21,80,0.420805,0.033473,0.454278
22,80,0.291491,0.039713,0.331204
23,80,0.274691,0.035424,0.310115
24,80,0.345444,0.036225,0.381669
25,80,0.21645,0.033793,0.250243
26,80,0.379076,0.037729,0.416805
27,80,0.38234,0.037057,0.419397
28,80,0.376612,0.036417,0.413029
29,80,0.375556,0.036897,0.412453
30,80,0.458725,0.038432,0.497157
31,80,0.424165,0.034401,0.458566
32,80,0.362692,0.042849,0.405541
33,80,0.347812,0.034784,0.382596
34,80,0.197795,0.033504,0.231299
35,80,0.287811,0.034849,0.32266
36,80,0.291011,0.033985,0.324996
37,80,0.606247,0.04336,0.649607
38,80,0.475302,0.039872,0.515174
39,80,0.469189,0.039393,0.508582
40,80,0.463781,0.03888,0.502661
41,80,0.50999,0.044673,0.554663
42,80,0.354564,0.035393,0.389957
43,80,0.490949,0.035297,0.526246
44,80,0.422469,0.035328,0.457797
45,80,0.2817,0.03536,0.31706
46,80,0.343364,0.034561,0.377925
47,80,0.294211,0.041889,0.3361
48,80,0.464677,0.038529,0.503206
49,80,0.461925,0.038177,0.500102
50,80,0.471365,0.040033,0.511398
51,80,0.382116,0.038849,0.420965
52,80,0.540774,0.03776,0.578534
53,80,0.500613,0.034209,0.534822
54,80,0.34986,0.033376,0.383236
55,80,0.269156,0.034304,0.30346
56,80,0.200066,0.032865,0.232931
57,80,0.412933,0.03264,0.445573
58,80,0.352644,0.033025,0.385669
59,80,0.268675,0.032864,0.301539
60,80,0.503046,0.036961,0.540007
61,80,0.277283,0.03664,0.313923
62,80,0.27386,0.033984,0.307844
63,80,0.273379,0.038753,0.312132
64,80,0.274691,0.034144,0.308835
65,80,0.483398,0.033184,0.516582
66,80,0.346981,0.033824,0.380805
67,80,0.272419,0.032961,0.30538
68,80,0.444677,0.033824,0.478501
69,80,0.345444,0.034305,0.379749
70,80,0.266435,0.033248,0.299683
71,80,0.286052,0.036832,0.322884
72,80,0.413605,0.033312,0.446917
73,80,0.290052,0.03392,0.323972
74,80,0.496454,0.033697,0.530151
75,80,0.543686,0.03712,0.580806
76,80,0.530215,0.037792,0.568007
77,80,0.463238,0.03744,0.500678
78,80,0.382213,0.04272,0.424933
79,80,0.400549,0.041408,0.441957
80,80,0.542023,0.037792,0.579815
81,80,0.461894,0.038464,0.500358
82,80,0.460358,0.038528,0.498886
83,80,0.449797,0.042145,0.491942
84,80,0.631783,0.041473,0.673256
85,80,0.38394,0.037505,0.421445
86,80,0.462981,0.037313,0.500294
87,80,0.485414,0.038944,0.524358
88,80,0.464613,0.038049,0.502662
89,80,0.231459,0.037408,0.268867
90,80,0.385029,0.03712,0.422149
91,80,0.462502,0.037856,0.500358
92,80,0.531142,0.036961,0.568103
93,80,0.381668,0.036929,0.418597
94,80,0.391364,0.041761,0.433125
95,80,0.537542,0.037409,0.574951
96,80,0.464037,0.038945,0.502982
97,80,0.465829,0.040033,0.505862
98,80,0.459109,0.037344,0.496453
99,80,0.453701,0.036544,0.490245
100,80,0.460198,0.039488,0.499686
101,80,0.529959,0.03696,0.566919
102,80,0.461349,0.036929,0.498278
103,80,0.35642,0.058209,0.414629
104,80,0.408197,0.040896,0.449093
105,80,0.537286,0.038401,0.575687
106,80,0.603783,0.042081,0.645864
107,80,0.381252,0.040001,0.421253
108,80,0.382244,0.036352,0.418596
109,80,0.52279,0.042048,0.564838
110,80,0.386181,0.039744,0.425925
111,80,0.379301,0.037504,0.416805
112,80,0.392549,0.037824,0.430373
113,80,0.381445,0.037728,0.419173
114,80,0.465926,0.037408,0.503334
115,80,0.386085,0.036512,0.422597
116,80,0.385381,0.036512,0.421893
117,80,0.540519,0.03696,0.577479
118,80,0.458949,0.036961,0.49591
119,80,0.524006,0.043297,0.567303
120,80,0.39946,0.039553,0.439013
121,80,0.382404,0.038465,0.420869
122,80,0.469733,0.039969,0.509702
123,80,0.473477,0.040385,0.513862
124,80,0.384101,0.039008,0.423109
125,80,0.389349,0.042688,0.432037
126,80,0.530374,0.037953,0.568327
127,80,0.307875,0.037633,0.345508
128,80,0.379908,0.036769,0.416677
129,80,0.553446,0.046529,0.599975
130,80,0.391685,0.037856,0.429541
131,80,0.494118,0.034976,0.529094
132,80,0.219587,0.034016,0.253603
133,80,0.437734,0.034688,0.472422
134,80,0.461829,0.038273,0.500102
135,80,0.532454,0.036865,0.569319
136,80,0.382692,0.036769,0.419461
137,80,0.476773,0.039649,0.516422
138,80,0.465221,0.039169,0.50439
139,80,0.462437,0.037281,0.499718
140,80,0.444261,0.039424,0.483685
141,80,0.360869,0.034368,0.395237
142,80,0.218179,0.033216,0.251395
143,80,0.457029,0.036001,0.49303
144,80,0.607047,0.036608,0.643655
145,80,0.45959,0.0384,0.49799
146,80,0.558247,0.041312,0.599559
147,80,0.459334,0.040128,0.499462
148,80,0.459974,0.037312,0.497286
149,80,0.380005,0.035968,0.415973
150,80,0.498374,0.034272,0.532646
151,80,0.274244,0.033376,0.30762
152,80,0.434469,0.042305,0.476774
153,80,0.458181,0.037249,0.49543
154,80,0.396772,0.040097,0.436869
155,80,0.553094,0.088065,0.641159
156,80,0.469094,0.04224,0.511334
157,80,0.45591,0.038336,0.494246
158,80,0.534599,0.0376,0.572199
159,80,0.459237,0.036513,0.49575
160,80,0.467173,0.042209,0.509382
161,80,0.341924,0.033056,0.37498
162,80,0.355333,0.035232,0.390565
163,80,0.287555,0.033953,0.321508
164,80,0.460837,0.037313,0.49815
165,80,0.455045,0.037121,0.492166
166,80,0.534342,0.03712,0.571462
167,80,0.450502,0.036576,0.487078
168,80,0.375141,0.036704,0.411845
169,80,0.384196,0.036001,0.420197
170,80,0.448965,0.036961,0.485926
171,80,0.371012,0.035232,0.406244
172,80,0.342661,0.035392,0.378053
173,80,0.415397,0.033216,0.448613
174,80,0.28762,0.035008,0.322628
175,80,0.361604,0.033249,0.394853
176,80,0.377252,0.036609,0.413861
177,80,0.3841,0.036545,0.420645
178,80,0.375716,0.036385,0.412101
179,80,0.448965,0.036608,0.485573
180,80,0.393797,0.04,0.433797
181,80,0.533319,0.037728,0.571047
182,80,0.343172,0.034081,0.377253
183,80,0.343652,0.03392,0.377572
184,80,0.344388,0.033409,0.377797
185,80,0.287907,0.034496,0.322403
186,80,0.287876,0.03312,0.320996
187,80,0.381125,0.03728,0.418405
188,80,0.47047,0.039648,0.510118
189,80,0.544231,0.050368,0.594599
190,80,0.461382,0.037824,0.499206
191,80,0.463974,0.037536,0.50151
192,80,0.451941,0.036769,0.48871
193,80,0.417317,0.033632,0.450949
194,80,0.493414,0.033408,0.526822
195,80,0.267076,0.032864,0.29994
196,80,0.337412,0.0344,0.371812
197,80,0.289636,0.033248,0.322884
198,80,0.307716,0.036448,0.344164
199,80,0.47175,0.039776,0.511526
200,80,0.528295,0.038624,0.566919
201,80,0.377381,0.036608,0.413989
202,80,0.461829,0.036929,0.498758
203,80,0.422629,0.033216,0.455845
204,80,0.346596,0.032705,0.379301
205,80,0.418661,0.03344,0.452101
206,80,0.339908,0.033152,0.37306
207,80,0.268003,0.032896,0.300899
208,80,0.363108,0.035073,0.398181
209,80,0.342212,0.033152,0.375364
210,80,0.410053,0.032768,0.442821
211,80,0.341765,0.033504,0.375269
212,80,0.3417,0.032256,0.373956
213,80,0.415557,0.033153,0.44871
214,80,0.342116,0.03312,0.375236
215,80,0.268931,0.031873,0.300804
216,80,0.415557,0.033248,0.448805
217,80,0.269187,0.032769,0.301956
218,80,0.344004,0.03632,0.380324
219,80,0.414981,0.034176,0.449157
220,80,0.26522,0.032928,0.298148
221,80,0.345828,0.032896,0.378724
222,80,0.338276,0.032545,0.370821
223,80,0.341188,0.033312,0.3745
224,80,0.34122,0.033505,0.374725
225,80,0.462533,0.036577,0.49911
226,80,0.607879,0.036672,0.644551
227,80,0.549799,0.039616,0.589415
228,80,0.383621,0.037888,0.421509
229,80,0.382949,0.037344,0.420293
230,80,0.457606,0.037472,0.495078
231,80,0.46855,0.039712,0.508262
232,80,0.377412,0.036609,0.414021
233,80,0.381476,0.036961,0.418437
234,80,0.471493,0.039521,0.511014
235,80,0.30986,0.03696,0.34682
236,80,0.47143,0.03936,0.51079
237,80,0.465862,0.038336,0.504198
238,80,0.464358,0.036896,0.501254
239,80,0.603975,0.037473,0.641448
240,80,0.38042,0.03648,0.4169
241,80,0.458022,0.036832,0.494854
242,80,0.454374,0.036448,0.490822
243,80,0.381477,0.03648,0.417957
244,80,0.385637,0.058656,0.444293
245,80,0.533639,0.039584,0.573223
246,80,0.456998,0.036896,0.493894
247,80,0.541286,0.039809,0.581095
248,80,0.537094,0.037153,0.574247
249,80,0.450693,0.036448,0.487141
250,80,0.537415,0.039072,0.576487
251,80,0.452262,0.03632,0.488582
252,80,0.546918,0.038241,0.585159
253,80,0.537446,0.036545,0.573991
254,80,0.529158,0.037376,0.566534
255,80,0.45495,0.03744,0.49239
256,80,0.384357,0.036864,0.421221
257,80,0.386373,0.03952,0.425893
258,80,0.230851,0.036416,0.267267
259,80,0.373381,0.03632,0.409701
260,80,0.381509,0.050496,0.432005
261,80,0.536967,0.038144,0.575111
262,80,0.380517,0.036896,0.417413
263,80,0.387877,0.037696,0.425573
264,80,0.457926,0.036448,0.494374
265,80,0.464742,0.036928,0.50167
266,80,0.229571,0.0368,0.266371
267,80,0.541543,0.036352,0.577895
268,80,0.459173,0.036769,0.495942
269,80,0.532422,0.040513,0.572935
270,80,0.39226,0.043073,0.435333
271,80,0.37914,0.038113,0.417253
272,80,0.466053,0.045249,0.511302
273,80,0.472101,0.039745,0.511846
274,80,0.52791,0.037697,0.565607
275,80,0.311651,0.038561,0.350212
276,80,0.524166,0.038112,0.562278
277,80,0.319108,0.040257,0.359365
278,80,0.230914,0.037153,0.268067
279,80,0.539846,0.039169,0.579015
280,80,0.396932,0.037601,0.434533
281,80,0.226019,0.036736,0.262755
282,80,0.384293,0.039168,0.423461
283,80,0.462181,0.039457,0.501638
284,80,0.539142,0.037889,0.577031
285,80,0.535302,0.037153,0.572455
286,80,0.39258,0.043713,0.436293
287,80,0.457605,0.036673,0.494278
288,80,0.469125,0.036865,0.50599
289,80,0.457893,0.037568,0.495461
290,80,0.291332,0.034048,0.32538
291,80,0.358469,0.033376,0.391845
292,80,0.430565,0.032736,0.463301
293,80,0.60484,0.036096,0.640936
294,80,0.615783,0.039233,0.655016
295,80,0.460293,0.043393,0.503686
296,80,0.391844,0.040705,0.432549
297,80,0.531814,0.039905,0.571719
298,80,0.534854,0.038176,0.57303
299,80,0.457254,0.037504,0.494758
